Material,Morphology,Material (Raw Data),Morphology (Raw Data),Unique_ID,Site,Location,Sample,Particle.x,Color,Plastic.or.not..morphology.,X1st.Order.Morph,Feret,MinFeret,Length,Length..mm.,Min Length (microns),Length (microns),Max Length (microns),Min Width (microns),Width (microns),Max Width (microns),Min Height (Microns),Height (microns),Max Height (Microns),Polymer.Class..openspecy.,Polymer..openspecy.,Min Density (mg/microns3),Density (mg/microns3),Max Density (mg/microns3),Min Volume (microns3),Volume (microns3),Max Volume (microns3),Min Mass (mg),Mass (mg),Max Mass (mg),OS_Plastic_Not
Nylon 6 - Poly(caprolactam),fiber,nylon 6 - poly(caprolactam),fiber,UNB-3-35-40-1000um_A_22,Upper Newport Bay,UNB-3,UNB-3-35-40,22,clear,,Fiber,2.606,0.524,0,2.606,2475.7,2606,2736.3,15,16.7,20.4,15,16.7,20.4,poly(acrylamide/amid)s,nylon 6 - poly(caprolactam),1.30E-09,1.30E-09,1.30E-09,4.61E+05,5.71E+05,8.52E+05,5.99E-04,7.42E-04,1.11E-03,
PAN,fiber,poly(acrylonitrile),fiber,UNB-3-20-25-500um_B_38,Upper Newport Bay,UNB-3,UNB-3-20-25,38,brown,,Fiber,2.181,1.35,0,2.181,2071.95,2181,2290.05,15,16.7,20.4,15,16.7,20.4,Unknown,poly(acrylonitrile),1.15E-09,1.18E-09,1.21E-09,3.85E+05,4.78E+05,7.13E+05,4.43E-04,5.64E-04,8.63E-04,
PET,fiber,poly(ethylene terephthalate),fiber,UNB-1-05-10-500um_A_27,Upper Newport Bay,UNB-1,UNB-1-05-10,27,pink,,Fiber,1.782,1.159,0,1.782,1692.9,1782,1871.1,15,16.7,20.4,15,16.7,20.4,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),1.44E-09,1.45E-09,1.46E-09,3.15E+05,3.90E+05,5.82E+05,4.53E-04,5.66E-04,8.50E-04,
PET,fiber,poly(ethylene terephthalate),fiber,UNB-2-10-15-1000um_D_1,Upper Newport Bay,UNB-2,UNB-2-10-15,1,black,,Fiber,1.467,0.942,0,1.467,1393.65,1467,1540.35,15,16.7,20.4,15,16.7,20.4,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),1.44E-09,1.45E-09,1.46E-09,2.59E+05,3.21E+05,4.79E+05,3.73E-04,4.66E-04,7.00E-04,
PP,fiber,poly(propylene),fiber,UNB-2-00-05-1000um_A_21,Upper Newport Bay,UNB-2,UNB-2-00-05,21,black,,Fiber,2.301,0.652,0,2.301,2185.95,2301,2416.05,15,16.7,20.4,15,16.7,20.4,poly(propylene),poly(propylene),9.98E-10,1.00E-09,1.00E-09,4.07E+05,5.04E+05,7.52E+05,4.06E-04,5.04E-04,7.52E-04,
PP,fiber,poly(propylene),fiber,UNB-3-00-05-500um_A_50,Upper Newport Bay,UNB-3,UNB-3-00-05,50,black,,Fiber,2.232,0.312,0,2.232,2120.4,2232,2343.6,15,16.7,20.4,15,16.7,20.4,poly(propylene),poly(propylene),9.98E-10,1.00E-09,1.00E-09,3.94E+05,4.89E+05,7.30E+05,3.94E-04,4.89E-04,7.30E-04,
PP,fiber,poly(propylene),fiber,UNB-3-30-35-1000um_A_4,Upper Newport Bay,UNB-3,UNB-3-30-35,4,clear,,Fiber,4.183,2.27,0,4.183,3973.85,4183,4392.15,15,16.7,20.4,15,16.7,20.4,poly(propylene),poly(propylene),9.98E-10,1.00E-09,1.00E-09,7.39E+05,9.16E+05,1.37E+06,7.38E-04,9.16E-04,1.37E-03,
PVC,fiber,poly(vinyl chloride),fiber,UNB-2-15-20-500um_A_10,Upper Newport Bay,UNB-2,UNB-2-15-20,10,black,,Fiber,0.991,0.59,0,0.991,941.45,991,1040.55,15,16.7,20.4,15,16.7,20.4,polyhaloolefins (vinylhalides),poly(vinyl chloride),1.33E-09,1.33E-09,1.33E-09,1.75E+05,2.17E+05,3.24E+05,2.33E-04,2.89E-04,4.31E-04,
ABS,fiber,acrylonitrile butadiene styrene (abs),fiber,UNB-3-00-05-500um_A_47,Upper Newport Bay,UNB-3,UNB-3-00-05,47,blue,,Fiber,2.105,0.165,0,2.105,1999.75,2105,2210.25,15,16.7,20.4,15,16.7,20.4,acrylonitrile butadiene styrene (abs),,1.11E-09,1.11E-09,1.11E-09,3.72E+05,4.61E+05,6.88E+05,4.13E-04,5.12E-04,7.64E-04,
mineral,fiber,mineral,fiber,UNB-1-10-15-1000um_A_13,Upper Newport Bay,UNB-1,UNB-1-10-15,13,orange,,Fiber,3.584,1.05,0,3.584,3404.8,3584,3763.2,15,16.7,20.4,15,16.7,20.4,mineral,,2.60E-09,2.65E-09,2.70E-09,6.33E+05,7.85E+05,1.17E+06,1.65E-03,2.08E-03,3.16E-03,
