"","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Unique_ID","Site","Location","Sample","Particle.x","Color","Plastic.or.not..morphology.","X1st.Order.Morph","Feret","MinFeret","Length","Length..mm.","Min.Length..microns.","Length..microns.","Max.Length..microns.","Min.Width..microns.","Width..microns.","Max.Width..microns.","Min.Height..Microns.","Height..microns.","Max.Height..Microns.","Polymer.Class..openspecy.","Polymer..openspecy.","Min.Density..mg.microns3.","Density..mg.microns3.","Max.Density..mg.microns3.","Min.Volume..microns3.","Volume..microns3.","Max.Volume..microns3.","Min.Mass..mg.","Mass..mg.","Max.Mass..mg.","OS_Plastic_Not","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj"
"1","Nylon 6 - Poly(caprolactam)","fiber","nylon 6 - poly(caprolactam)","fiber","UNB-3-35-40-1000um_A_22","Upper Newport Bay","UNB-3","UNB-3-35-40",22,"clear","","Fiber",2.606,0.524,0,2.606,2475.7,2606,2736.3,15,16.7,20.4,15,16.7,20.4,"poly(acrylamide/amid)s","nylon 6 - poly(caprolactam)",1.3e-09,1.3e-09,1.3e-09,461000,571000,852000,"5.99E-04","7.42E-04","1.11E-03","",0.002606,1.67e-05,1.67e-05,0.0800517867686309,1.67e-05,1026,1300,0.267056530214425,0.20054128803438,NA,0.00127216037463466,0.0172724213466657,36.0448887269669,0.00127216037463466
"2","PAN","fiber","poly(acrylonitrile)","fiber","UNB-3-20-25-500um_B_38","Upper Newport Bay","UNB-3","UNB-3-20-25",38,"brown","","Fiber",2.181,1.35,0,2.181,2071.95,2181,2290.05,15,16.7,20.4,15,16.7,20.4,"Unknown","poly(acrylonitrile)",1.15e-09,1.18e-09,1.21e-09,385000,478000,713000,"4.43E-04","5.64E-04","8.63E-04","",0.002181,1.67e-05,1.67e-05,0.0875045030609148,1.67e-05,1026,1180,0.15009746588694,0.165498420270896,NA,0.00086702815333094,0.0117718456590461,43.614527890261,0.00086702815333094
"3","PET","fiber","poly(ethylene terephthalate)","fiber","UNB-1-05-10-500um_A_27","Upper Newport Bay","UNB-1","UNB-1-05-10",27,"pink","","Fiber",1.782,1.159,0,1.782,1692.9,1782,1871.1,15,16.7,20.4,15,16.7,20.4,"poly(esters/ethers/diglycidylethers/terephthalates)s","poly(ethylene terephthalate)",1.44e-09,1.45e-09,1.46e-09,315000,390000,582000,"4.53E-04","5.66E-04","8.50E-04","",0.001782,1.67e-05,1.67e-05,0.096806470366531,1.67e-05,1026,1450,0.413255360623782,0.231957755607296,NA,0.0016995607758997,0.0230753373638415,31.2513880822951,0.0016995607758997
"4","PET","fiber","poly(ethylene terephthalate)","fiber","UNB-2-10-15-1000um_D_1","Upper Newport Bay","UNB-2","UNB-2-10-15",1,"black","","Fiber",1.467,0.942,0,1.467,1393.65,1467,1540.35,15,16.7,20.4,15,16.7,20.4,"poly(esters/ethers/diglycidylethers/terephthalates)s","poly(ethylene terephthalate)",1.44e-09,1.45e-09,1.46e-09,259000,321000,479000,"3.73E-04","4.66E-04","7.00E-04","",0.001467,1.67e-05,1.67e-05,0.106694781570849,1.67e-05,1026,1450,0.413255360623782,0.231957755607296,NA,0.0016990008389176,0.0230677349674178,31.2719904163911,0.0016990008389176
"5","PP","fiber","poly(propylene)","fiber","UNB-2-00-05-1000um_A_21","Upper Newport Bay","UNB-2","UNB-2-00-05",21,"black","","Fiber",2.301,0.652,0,2.301,2185.95,2301,2416.05,15,16.7,20.4,15,16.7,20.4,"poly(propylene)","poly(propylene)",9.98e-10,1e-09,1e-09,407000,504000,752000,"4.06E-04","5.04E-04","7.52E-04","",0.002301,1.67e-05,1.67e-05,0.0851922181738159,1.67e-05,1026,1000,0.0253411306042884,0.0914698699707562,NA,0.000160685296723785,0.00218166215877009,214.386741863546,-0.000160685296723785
"6","PP","fiber","poly(propylene)","fiber","UNB-3-00-05-500um_A_50","Upper Newport Bay","UNB-3","UNB-3-00-05",50,"black","","Fiber",2.232,0.312,0,2.232,2120.4,2232,2343.6,15,16.7,20.4,15,16.7,20.4,"poly(propylene)","poly(propylene)",9.98e-10,1e-09,1e-09,394000,489000,730000,"3.94E-04","4.89E-04","7.30E-04","",0.002232,1.67e-05,1.67e-05,0.0864990107055947,1.67e-05,1026,1000,0.0253411306042884,0.0914698699707562,NA,0.000160684182928487,0.00218164703650873,214.389713951629,-0.000160684182928487
"7","PP","fiber","poly(propylene)","fiber","UNB-3-30-35-1000um_A_4","Upper Newport Bay","UNB-3","UNB-3-30-35",4,"clear","","Fiber",4.183,2.27,0,4.183,3973.85,4183,4392.15,15,16.7,20.4,15,16.7,20.4,"poly(propylene)","poly(propylene)",9.98e-10,1e-09,1e-09,739000,916000,1370000,"7.38E-04","9.16E-04","1.37E-03","",0.004183,1.67e-05,1.67e-05,0.0631850456045325,1.67e-05,1026,1000,0.0253411306042884,0.0914698699707562,NA,0.00016070553415452,0.00218193692713861,214.332750397943,-0.00016070553415452
"8","PVC","fiber","poly(vinyl chloride)","fiber","UNB-2-15-20-500um_A_10","Upper Newport Bay","UNB-2","UNB-2-15-20",10,"black","","Fiber",0.991,0.59,0,0.991,941.45,991,1040.55,15,16.7,20.4,15,16.7,20.4,"polyhaloolefins (vinylhalides)","poly(vinyl chloride)",1.33e-09,1.33e-09,1.33e-09,175000,217000,324000,"2.33E-04","2.89E-04","4.31E-04","",0.000991,1.67e-05,1.67e-05,0.129813962981121,1.67e-05,1026,1330,0.296296296296296,0.207608345262786,NA,0.0013611433155408,0.0184805637150662,34.9335505622106,0.0013611433155408
"9","ABS","fiber","acrylonitrile butadiene styrene (abs)","fiber","UNB-3-00-05-500um_A_47","Upper Newport Bay","UNB-3","UNB-3-00-05",47,"blue","","Fiber",2.105,0.165,0,2.105,1999.75,2105,2210.25,15,16.7,20.4,15,16.7,20.4,"acrylonitrile butadiene styrene (abs)","",1.11e-09,1.11e-09,1.11e-09,372000,461000,688000,"4.13E-04","5.12E-04","7.64E-04","",0.002105,1.67e-05,1.67e-05,0.0890701503673414,1.67e-05,1026,1110,0.0818713450292398,0.135221798446248,NA,0.000579273188066242,0.00786492865098068,53.2953459382733,0.000579273188066242
"10","mineral","fiber","mineral","fiber","UNB-1-10-15-1000um_A_13","Upper Newport Bay","UNB-1","UNB-1-10-15",13,"orange","","Fiber",3.584,1.05,0,3.584,3404.8,3584,3763.2,15,16.7,20.4,15,16.7,20.4,"mineral","",2.6e-09,2.65e-09,2.7e-09,633000,785000,1170000,"1.65E-03","2.08E-03","3.16E-03","",0.003584,1.67e-05,1.67e-05,0.068261249726955,1.67e-05,1026,2650,1.58284600389864,0.362923943043849,NA,0.00415193754522195,0.0563718349635825,20.0567820443258,0.00415193754522195
