,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,
,fiber,,,fiber bundle,,,film,,,foam,,,fragment,,,pellet,,,sphere,,,TRWP,,,Total Sum of Mass (mg),Total Sum of Min Mass (mg),Total Sum of Max Mass (mg)
Row Labels,Sum of Mass (mg),Sum of Min Mass (mg),Sum of Max Mass (mg),Sum of Mass (mg),Sum of Min Mass (mg),Sum of Max Mass (mg),Sum of Mass (mg),Sum of Min Mass (mg),Sum of Max Mass (mg),Sum of Mass (mg),Sum of Min Mass (mg),Sum of Max Mass (mg),Sum of Mass (mg),Sum of Min Mass (mg),Sum of Max Mass (mg),Sum of Mass (mg),Sum of Min Mass (mg),Sum of Max Mass (mg),Sum of Mass (mg),Sum of Min Mass (mg),Sum of Max Mass (mg),Sum of Mass (mg),Sum of Min Mass (mg),Sum of Max Mass (mg),,,
UNB-1-00-05,0.088624764,0.070704516,0.133506781,,,,0.102,0.00163,0.374,11.4267,0.154776,20.435,68.00300148,1.325412331,138.7667313,,,,,,,1.389,0.02544,2.678,81.00932624,1.577962847,162.3872381
UNB-1-05-10,0.161245101,0.128386516,0.243298699,,,,0.195743171,0.003374047,0.501179291,0.960007274,0.034074444,1.870250943,18.55340317,0.67331064,36.56370302,,,,,,,0.6375,0.013477,1.4465,20.50789871,0.852622647,40.62493195
UNB-1-10-15,0.172872802,0.137599269,0.260830827,0.012494421,0.00995362,0.018839466,0.101385565,0.001747594,0.259586811,1.220231114,0.009094989,2.773099253,1.658597834,0.048317555,2.898634966,,,,,,,0.1063,0.003514,0.2126,3.271881737,0.210227027,6.423591323
UNB-1-15-20,0.081097734,0.064613859,0.122329867,0.006247211,0.00497681,0.009419733,0.014101798,0.000243074,0.036106135,6.243239789,0.180688918,14.98523906,12.27290971,0.398539755,27.98915804,37.9,17.7,57.2,0.270438438,0.161000635,0.411983114,3.8389,0.124739,9.3091,60.62693468,18.63480205,110.0633359
UNB-1-20-25,0.031499723,0.025149182,0.04745722,,,,0.202,0.00351,0.449,0.799262754,0.006104503,2.482780576,3.645302799,0.084941221,7.353282579,,,,,,,,,,4.678065276,0.119704907,10.33252038
UNB-1-25-30,0.026360138,0.020978175,0.039817929,,,,0.019315649,0.000332946,0.049455638,,,,12.61255264,0.234998481,23.80416364,,,,,,,12.8372,0.298138,24.0721,25.49542843,0.554447602,47.96553721
UNB-1-30-35,0.040809824,0.03250717,0.0615972,,,,0.652290162,0.011143285,1.768292054,,,,4.46649596,0.086775346,6.459060193,,,,,,,1.5047,0.048144,3.4711,6.664295946,0.178569801,11.76004945
UNB-1-35-40,0.024034805,0.019155129,0.036217518,,,,0.0483,0.000863,0.105,0.0656,0.000453,0.2144,0.417809527,0.048244006,0.894482078,,,,,,,3.52533,0.088881,7.0813,4.081074331,0.157596135,8.331399596
UNB-1-40-45,0.034824875,0.027772816,0.052565137,,,,,,,,,,,,,,,,,,,0.0717,0.00597,0.175,0.106524875,0.033742816,0.227565137
UNB-2-00-05,0.131088119,0.104437925,0.197692432,0.006247211,0.00497681,0.009419733,1.62985809,0.027718457,4.553649091,3.825917623,0.090391046,8.16625684,278.1625781,6.336736502,483.871183,,,,,,,0.0553,0.000818,0.0767,283.8109891,6.56507874,496.8749011
UNB-2-05-10,0.202918665,0.161698281,0.306179734,,,,2.097430167,0.036711323,4.857686683,100.4214168,1.724597004,167.5202929,175.9038701,3.969040776,313.9014786,,,,,,,0.90338,0.027968,1.9912,279.5290158,5.920015384,488.5768379
UNB-2-10-15,0.13568572,0.108217901,0.204422819,,,,0.647371493,0.011179714,1.645088024,10.13134514,0.155114224,19.69364377,12.62828964,0.338775023,25.39280841,41.872275,19.6636,63.461425,,,,,,,65.41496699,20.27688686,110.397388
UNB-2-15-20,0.052872909,0.042043756,0.079914437,,,,,,,3.4825,0.0250309,9.6305,12.81505764,0.263696474,25.30095867,,,,,,,,,,16.35043055,0.33077113,35.01137311
UNB-2-20-25,0.031617651,0.025169157,0.047691751,,,,0.0577,0.000927,0.212,41.84293809,0.715927005,61.40547571,19.76368836,0.498591147,40.35991167,,,,,,,,,,61.6959441,1.240614309,102.0250791
UNB-2-25-30,0.11109197,0.088288851,0.167959888,,,,,,,2.888933719,0.053213612,7.072236273,69.22265011,1.380136753,127.4284977,,,,,,,17.22,0.3159,30.387,89.4426758,1.837539216,165.0556938
UNB-2-30-35,0.035771728,0.028488968,0.053947008,,,,0.353920451,0.006100567,0.906175164,1.807677461,0.028656191,3.482009073,2.228289559,0.088588251,5.49808573,,,,,,,8.364,0.2025,15.83,12.7896592,0.354333977,25.77021697
UNB-2-35-40,0.032128871,0.025624691,0.048361308,,,,0.497023755,0.008600201,1.253179316,,,,,,,,,,,,,,,,0.529152626,0.034224892,1.301540623
UNB-2-40-45,0.01966078,0.015702881,0.029571468,,,,0.082015804,0.001413716,0.209992625,0.001273072,4.77524E-05,0.003050478,2.428,0.03979,5.626,,,,,,,8.554,0.1264,16.1,11.08494966,0.183354349,21.96861457
UNB-2-45-50,0.019575147,0.015666927,0.029425724,,,,,,,,,,,,,,,,,,,,,,0.019575147,0.015666927,0.029425724
UNB-2-50-55,0.011448478,0.009127987,0.017253609,,,,,,,,,,,,,,,,,,,22.461,0.4754,41.71,22.47244848,0.484527987,41.72725361
UNB-2-60-65,0.018611327,0.014836261,0.028047271,,,,,,,,,,,,,,,,,,,0.353,0.0115,0.893,0.371611327,0.026336261,0.921047271
UNB-3-00-05,0.20866705,0.166370551,0.314497644,0.006247211,0.00497681,0.009419733,4.327336764,0.074415177,11.32789439,29.61493264,0.510105463,50.16510881,143.010666,3.198265319,250.9491329,,,,,,,0.0638,0.00131,0.1211,177.2316497,3.955443322,312.8871535
UNB-3-05-10,0.103793507,0.082692986,0.156586767,,,,101.8543312,1.759781009,252.5654156,64.35863301,1.221982479,106.8667443,280.1631284,6.706769543,535.0201811,36.5,17.3,45.3,,,,0.8306,0.05162,1.9664,483.8104861,27.12284602,941.8753278
UNB-3-10-15,0.139972486,0.111566949,0.211088413,0.006247211,0.00497681,0.009419733,9.963694438,0.171777075,25.71487528,22.18774769,0.396524568,47.50827679,323.8055344,7.826517665,636.4597285,104.092125,48.72155,159.9194,,,,0.9203,0.021612,1.8408,461.1156212,57.25452507,871.6635887
UNB-3-15-20,0.114837706,0.091495984,0.173267826,,,,6.513420263,0.111925638,17.04415615,2.796924897,0.026004786,7.281820866,157.4370845,3.786362764,286.4415177,80.8666,45.4609,108.657925,0.014249181,0.008407989,0.020895887,1.14756,0.022995,1.9881,248.8906766,49.50809216,421.6076834
UNB-3-20-25,0.229259001,0.182643907,0.345873984,0.006247211,0.00497681,0.009419733,1.146890342,0.019920584,2.688272195,1.319309255,0.029480106,3.049752572,98.78265385,3.071585501,205.9620585,,,,0.010523001,0.006204608,0.015357284,4.6902,0.118374,9.4522,106.1850827,3.433185517,221.5229343
UNB-3-25-30,0.208120614,0.165765355,0.314067365,,,,2.368097066,0.04093194,5.589916028,0.268245913,0.003951298,0.773291188,65.7454072,1.749398659,106.8781462,,,,0.191415417,0.112702319,0.276972335,6.9888,0.119434,12.771,75.77008621,2.192183571,126.6033931
UNB-3-30-35,0.109800751,0.087498095,0.165622034,,,,0.250174705,0.004312289,0.640545364,0.0131,0.0000908,0.0348,90.47546225,2.590079562,161.5489424,,,,0.113304105,0.066808883,0.165393576,2.4112,0.03565,4.974,93.37304181,2.78443963,167.5293034
UNB-3-35-40,0.070402441,0.056104461,0.106138688,,,,0.961158488,0.016567597,2.460942702,,,,71.92187435,1.32058159,138.19012,,,,0.021176335,0.012429533,0.030015848,1.073,0.01585,2.116,74.04761161,1.421533181,142.9032173
UNB-3-40-45,0.029626071,0.023583053,0.044708388,,,,4.492628108,0.077670782,11.08396013,,,,2.344084719,0.044168375,3.927791381,,,,,,,2.3847,0.040245,4.0672,9.251038898,0.185667209,19.1236599
UNB-3-45-50,0.031729997,0.025285602,0.047881546,,,,18.42797804,0.316146912,48.75670733,0.0469,0.000325,0.135,0.626214056,0.024190644,1.428940742,,,,0.040076059,0.023914415,0.062248388,39.25873,0.58151,54.8192,58.43162815,0.971372573,105.249978
UNB-3-50-55,0.017668062,0.01408335,0.026668253,,,,,,,,,,1.060929206,0.018445197,1.762553923,,,,,,,1.5956,0.033661,3.1294,2.674197268,0.066189547,4.918622176
Grand Total,2.727718817,2.173260511,4.114489533,0.043730475,0.034837671,0.065938131,157.0061655,2.708943929,395.053076,305.7228362,5.366634089,535.5490295,1930.155536,46.15225908,3600.677253,301.231,148.84605,434.53875,0.661182537,0.391468384,0.982866432,143.1858,2.81105,252.679,2840.733969,208.4845037,5223.660403
