,Site,Location,Lat,Long,Depth,Sample,Sub vol cc,Sub dw,Total_Cnt,Total_NF,Total_F,Total_fiber,Total_fiberbun,Total_film,Total_foam,Total_fragment,Total_pellet,Total_sphere,Total_TRWP,Conc_Total,Conc_NonFiber,Conc_Fiber,Conc_fiber,Conc_fiberbun,Conc_film,Conc_foam,Conc_fragment,Conc_pellet,Conc_sphere,Conc_TRWP,Perc_NF,Perc_F,Perc_fiber,Perc_fiberbun,Perc_film,Perc_foam,Perc_fragment,Perc_pellet,Perc_sphere,Perc_TRWP,Av_ DryBD_gcc-1,StdDev_DryBD_gcc-1,Av_Perc_OM,StdDev_Perc_OM
1,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,0-5cm,UNB-1-00-05,912.0734624,295.7489409,141,36,105,105,,1,11,20,,,4,0.476755723,0.121724865,0.355030857,0.355030857,0,0.003381246,0.037193709,0.067624925,0,0,0.013524985,0.255319149,0.744680851,0.744680851,0,0.007092199,0.078014184,0.141843972,0,0,0.028368794,0.32426,0.07295,,
2,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,05-10cm,UNB-1-05-10,912.0734624,802.9438726,263,74,189,189,,3,3,62,,,6,0.327544688,0.092160863,0.235383825,0.235383825,0,0.003736251,0.003736251,0.077215858,0,0,0.007472502,0.281368821,0.718631179,0.718631179,0,0.011406844,0.011406844,0.235741445,0,0,0.022813688,0.88035,0.23011,,
3,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,10-15cm,UNB-1-10-15,912.0734624,639.5741861,213,30,183,181,2,2,6,19,,,3,0.333034079,0.046906208,0.286127871,0.28300079,0.003127081,0.003127081,0.009381242,0.029707265,0,0,0.004690621,0.14084507,0.85915493,0.849765258,0.009389671,0.009389671,0.028169014,0.089201878,0,0,0.014084507,0.701231,0.38681,,
4,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,15-20cm,UNB-1-15-20,912.0734624,668.0500317,204,47,157,156,1,2,17,11,1,3,13,0.30536635,0.070354012,0.235012338,0.233515444,0.001496894,0.002993788,0.025447196,0.016465833,0.001496894,0.004490682,0.01945962,0.230392157,0.769607843,0.764705882,0.004901961,0.009803922,0.083333333,0.053921569,0.004901961,0.014705882,0.06372549,0.732452,0.2566,,
5,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,20-25cm,UNB-1-20-25,912.0734624,996.133801,74,26,48,48,,1,4,21,,,,0.074287209,0.026100911,0.048186298,0.048186298,0,0.001003881,0.004015525,0.021081505,0,0,0,0.351351351,0.648648649,0.648648649,0,0.013513514,0.054054054,0.283783784,0,0,0,1.092164,0.21921,,
6,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,25-30cm,UNB-1-25-30,912.0734624,1588.557437,116,91,25,25,,1,,4,,,86,0.073022226,0.057284677,0.015737549,0.015737549,0,0.000629502,0,0.002518008,0,0,0.054137167,0.784482759,0.215517241,0.215517241,0,0.00862069,0,0.034482759,0,0,0.74137931,1.741699,0.24356,,
7,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,30-35cm,UNB-1-30-35,912.0734624,1257.389948,73,31,42,42,,7,,5,,,19,0.058056771,0.024654245,0.033402526,0.033402526,0,0.005567088,0,0.003976491,0,0,0.015110666,0.424657534,0.575342466,0.575342466,0,0.095890411,0,0.068493151,0,0,0.260273973,1.378606,0.24181,,
8,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,35-40cm,UNB-1-35-40,912.0734624,1306.340018,80,42,38,38,,1,2,2,,,37,0.061239799,0.032150894,0.029088904,0.029088904,0,0.000765497,0.001530995,0.001530995,0,0,0.028323407,0.525,0.475,0.475,0,0.0125,0.025,0.025,0,0,0.4625,1.432275,0.22901,,
9,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,40-45cm,UNB-1-40-45,912.0734624,924.7895906,41,1,40,40,,,,,,,1,0.044334409,0.001081327,0.043253082,0.043253082,0,0,0,0,0,0,0.001081327,0.024390244,0.975609756,0.975609756,0,0,0,0,0,0,0.024390244,1.013942,0.14284,,
10,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,0-5cm,UNB-2-00-05,912.0734624,211.7524475,422,244,178,177,1,16,22,205,,,1,1.99289314,1.152288925,0.840604215,0.83588172,0.004722496,0.075559929,0.103894903,0.968111596,0,0,0.004722496,0.578199052,0.421800948,0.41943128,0.002369668,0.037914692,0.052132701,0.485781991,0,0,0.002369668,0.232166,0.01331,,
11,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,05-10cm,UNB-2-05-10,912.0734624,356.6207238,635,249,386,386,,14,62,161,,,12,1.780603194,0.69822078,1.082382414,1.082382414,0,0.039257393,0.17385417,0.451460023,0,0,0.033649194,0.392125984,0.607874016,0.607874016,0,0.022047244,0.097637795,0.253543307,0,0,0.018897638,0.391,0.21887,,
12,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,10-15cm,UNB-2-10-15,912.0734624,575.8576461,181,52,129,129,,9,17,25,1,,,0.314313791,0.090300095,0.224013697,0.224013697,0,0.015628863,0.029521185,0.043413507,0.00173654,0,0,0.287292818,0.712707182,0.712707182,0,0.049723757,0.093922652,0.138121547,0.005524862,0,0,0.631372,0.31343,,
13,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,15-20cm,UNB-2-15-20,912.0734624,669.0387193,94,44,50,50,,,26,18,,,,0.14050009,0.065765999,0.07473409,0.07473409,0,0,0.038861727,0.026904272,0,0,0,0.468085106,0.531914894,0.531914894,0,0,0.276595745,0.191489362,0,0,0,0.733536,0.36093,,
14,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,20-25cm,UNB-2-20-25,912.0734624,717.6704763,70,32,38,38,,1,10,21,,,,0.097537801,0.044588709,0.052949092,0.052949092,0,0.001393397,0.013933972,0.02926134,0,0,0,0.457142857,0.542857143,0.542857143,0,0.014285714,0.142857143,0.3,0,0,0,0.786856,0.15191,,
15,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,25-30cm,UNB-2-25-30,912.0734624,1128.659899,150,32,118,118,,,12,15,,,5,0.132900974,0.028352208,0.104548766,0.104548766,0,0,0.010632078,0.013290097,0,0,0.004430032,0.213333333,0.786666667,0.786666667,0,0,0.08,0.1,0,0,0.033333333,1.237466,0.19892,,
16,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,30-35cm,UNB-2-30-35,912.0734624,997.9086959,53,21,32,32,,2,7,6,,,6,0.053111071,0.021044009,0.032067062,0.032067062,0,0.002004191,0.00701467,0.006012574,0,0,0.006012574,0.396226415,0.603773585,0.603773585,0,0.037735849,0.132075472,0.113207547,0,0,0.113207547,1.09411,0.18588,,
17,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,35-40cm,UNB-2-35-40,912.0734624,1093.390018,34,2,32,32,,2,,,,,,0.031095949,0.001829173,0.029266775,0.029266775,0,0.001829173,0,0,0,0,0,0.058823529,0.941176471,0.941176471,0,0.058823529,0,0,0,0,0,1.198796,0.12016,,
18,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,40-45cm,UNB-2-40-45,912.0734624,1093.979218,31,8,23,23,,2,1,2,,,3,0.028336919,0.007312753,0.021024165,0.021024165,0,0.001828188,0.000914094,0.001828188,0,0,0.002742282,0.258064516,0.741935484,0.741935484,0,0.064516129,0.032258065,0.064516129,0,0,0.096774194,1.199442,0.10591,,
19,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,45-50cm,UNB-2-45-50,912.0734624,1086.126265,10,,10,10,,,,,,,,0.009207033,0,0.009207033,0.009207033,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1.190832,0.1241,,
20,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,50-55cm,UNB-2-50-55,912.0734624,1264.257861,11,5,6,6,,,,,,,5,0.008700757,0.003954889,0.004745867,0.004745867,0,0,0,0,0,0,0.003954889,0.454545455,0.545454545,0.545454545,0,0,0,0,0,0,0.454545455,1.386136,0.15357,,
