,Site,Location,Lat,Long,Depth,Sample,Sub vol cc,Sub dw,Av_Total_gram,Min_Total_gram,Max_Total_gram,Av_Total_NF,Min_Total_NF,Max_Total_NF,Av_Total_F,Min_Total_F,Max_Total_F,Av_Total_fiber,Min_Total_fiber,Max_Total_fiber,Av_Total_fiberbun,Min_Total_fiberbun,Max_Total_fiberbun,Av_Total_film,Min_Total_film,Max_Total_film,Av_Total_foam,Min_Total_foam,Max_Total_foam,Av_Total_fragment,Min_Total_fragment,Max_Total_fragment,Av_Total_pellet,Min_Total_pellet,Max_Total_pellet,Av_Total_sphere,Min_Total_sphere,Max_Total_sphere,Av_Total_TRWP,Min_Total_TRWP,Max_Total_TRWP,Av_Conc_Total,Min_Conc_Total,Max_Conc_Total,Av_Conc_NonFiber,Min_Conc_NonFiber,Max_Conc_NonFiber,Av_Conc_Fiber,Min_Conc_Fiber,Max_Conc_Fiber,Av_Conc_fiber,Min_Conc_fiber,Max_Conc_fiber,Av_Conc_fiberbun,Min_Conc_fiberbun,Max_Conc_fiberbun,Av_Conc_film,Min_Conc_film,Max_Conc_film,Av_Conc_foam,Min_Conc_foam,Max_Conc_foam,Av_Conc_fragment,Min_Conc_fragment,Max_Conc_fragment,Av_Conc_pellet,Min_Conc_pellet,Max_Conc_pellet,Av_Conc_sphere,Min_Conc_sphere,Max_Conc_sphere,Av_Conc_TRWP,Min_Conc_TRWP,Max_Conc_TRWP,Perc_NF,Perc_F,Perc_fiber,Perc_fiberbun,Perc_film,Perc_foam,Perc_fragment,Perc_pellet,Perc_sphere,Perc_TRWP
1,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,0-5cm,UNB-1-00-05,912.0734624,295.7489409,81.00932624,1.577962847,162.3872381,80.92070148,1.507258331,162.2537313,8.86E-02,7.07E-02,0.133506781,8.86E-02,7.07E-02,0.133506781,,,,0.102,1.63E-03,0.374,11.4267,0.154776,20.435,68.00300148,1.325412331,138.7667313,,,,,,,1.389,2.54E-02,2.678,0.273912481,0.005335481,0.549071241,0.273612819,0.005096412,0.548619822,3.00E-04,2.39E-04,0.000451419,3.00E-04,2.39E-04,0.000451419,0.00E+00,0.00E+00,0,3.45E-04,5.51E-06,0.001264586,3.86E-02,5.23E-04,0.069095767,2.30E-01,4.48E-03,0.469204491,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,4.70E-03,8.60E-05,0.009054977,0.998905993,1.09E-03,1.09E-03,0,0.001259114,0.14105413,0.839446575,0,0,0.017146174
2,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,05-10cm,UNB-1-05-10,912.0734624,802.9438726,20.50789871,0.852622647,40.62493195,20.34665361,0.724236131,40.38163326,0.161245101,0.128386516,0.243298699,0.161245101,0.128386516,0.243298699,,,,0.195743171,3.37E-03,0.501179291,0.960007274,3.41E-02,1.870250943,18.55340317,0.67331064,36.56370302,,,,,,,0.6375,1.35E-02,1.4465,0.025540887,0.001061871,0.050594983,0.02534007,0.000901976,0.050291975,2.01E-04,1.60E-04,0.000303008,2.01E-04,1.60E-04,0.000303008,0.00E+00,0.00E+00,0,2.44E-04,4.20E-06,0.000624177,1.20E-03,4.24E-05,0.002329242,2.31E-02,8.39E-04,0.04553706,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,7.94E-04,1.68E-05,0.001801496,0.992137415,7.86E-03,7.86E-03,0,0.00954477,0.046811586,0.904695475,0,0,0.031085584
3,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,10-15cm,UNB-1-10-15,912.0734624,639.5741861,3.271881737,0.210227027,6.423591323,3.086514513,0.062674138,6.14392103,0.185367224,0.147552889,0.279670292,0.172872802,0.137599269,0.260830827,1.25E-02,9.95E-03,1.88E-02,0.101385565,1.75E-03,0.259586811,1.220231114,9.09E-03,2.773099253,1.658597834,0.048317555,2.898634966,,,,,,,0.1063,3.51E-03,0.2126,0.005115719,0.000328698,0.010043544,0.00482589,9.79935E-05,0.009606268,2.90E-04,2.31E-04,0.000437276,2.70E-04,2.15E-04,0.00040782,1.95E-05,1.56E-05,2.94563E-05,1.59E-04,2.73E-06,0.000405874,1.91E-03,1.42E-05,0.004335852,2.59E-03,7.55E-05,0.004532133,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,1.66E-04,5.49E-06,0.000332409,0.943345378,5.67E-02,5.28E-02,0.003818726,0.030986928,0.372944749,0.506924751,0,0,0.032488949
4,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,15-20cm,UNB-1-15-20,912.0734624,668.0500317,60.62693468,18.63480205,110.0633359,60.53958974,18.56521138,109.9315863,8.73E-02,6.96E-02,0.1317496,8.11E-02,6.46E-02,0.122329867,6.25E-03,4.98E-03,9.42E-03,1.41E-02,2.43E-04,3.61E-02,6.243239789,0.180688918,14.98523906,12.27290971,0.398539755,27.98915804,37.9,17.7,57.2,0.270438438,0.161000635,0.411983114,3.8389,0.124739,9.3091,0.090752087,0.027894321,0.164753133,0.090621341,0.027790151,0.164555918,1.31E-04,1.04E-04,0.000197215,1.21E-04,9.67E-05,0.000183115,9.35E-06,7.45E-06,1.41003E-05,2.11E-05,3.64E-07,5.40471E-05,9.35E-03,2.70E-04,0.022431313,1.84E-02,5.97E-04,0.041896799,5.67E-02,2.65E-02,0.08562233,4.05E-04,2.41E-04,0.000616695,5.75E-03,1.87E-04,0.013934735,0.998559305,1.44E-03,1.34E-03,0.000103043,0.0002326,0.102977989,0.202433288,0.62513469,0.004460698,0.063320041
5,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,20-25cm,UNB-1-20-25,912.0734624,996.133801,4.678065276,0.119704907,10.33252038,4.646565553,0.094555725,10.28506315,3.15E-02,2.51E-02,4.75E-02,3.15E-02,2.51E-02,4.75E-02,,,,0.202,3.51E-03,0.449,0.799262754,6.10E-03,2.482780576,3.645302799,0.084941221,7.353282579,,,,,,,,,,0.004696222,0.00012017,0.010372623,0.0046646,9.49227E-05,0.010324982,3.16E-05,2.52E-05,4.76414E-05,3.16E-05,2.52E-05,4.76414E-05,0.00E+00,0.00E+00,0,2.03E-04,3.52E-06,0.000450743,8.02E-04,6.13E-06,0.002492417,3.66E-03,8.53E-05,0.007381822,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.993266506,6.73E-03,6.73E-03,0,0.043180244,0.170853271,0.779232991,0,0,0
6,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,25-30cm,UNB-1-25-30,912.0734624,1588.557437,25.49542843,0.554447602,47.96553721,25.46906829,0.533469427,47.92571928,2.64E-02,2.10E-02,3.98E-02,2.64E-02,2.10E-02,3.98E-02,,,,1.93E-02,3.33E-04,4.95E-02,,,,12.61255264,0.234998481,23.80416364,,,,,,,12.8372,0.298138,24.0721,0.016049422,0.000349026,0.030194399,0.016032828,0.00033582,0.030169334,1.66E-05,1.32E-05,2.50655E-05,1.66E-05,1.32E-05,2.50655E-05,0.00E+00,0.00E+00,0,1.22E-05,2.10E-07,3.11324E-05,0.00E+00,0.00E+00,0,7.94E-03,1.48E-04,0.014984767,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,8.08E-03,1.88E-04,0.015153434,0.998966084,1.03E-03,1.03E-03,0,0.000757612,0,0.494698596,0,0,0.503509876
7,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,30-35cm,UNB-1-30-35,912.0734624,1257.389948,6.664295946,0.178569801,11.76004945,6.623486122,0.146062631,11.69845225,4.08E-02,3.25E-02,6.16E-02,4.08E-02,3.25E-02,6.16E-02,,,,0.652290162,0.011143285,1.768292054,,,,4.46649596,0.086775346,6.459060193,,,,,,,1.5047,4.81E-02,3.4711,0.005300103,0.000142016,0.009352747,0.005267647,0.000116163,0.009303758,3.25E-05,2.59E-05,4.89881E-05,3.25E-05,2.59E-05,4.89881E-05,0.00E+00,0.00E+00,0,5.19E-04,8.86E-06,0.00140632,0.00E+00,0.00E+00,0,3.55E-03,6.90E-05,0.005136879,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,1.20E-03,3.83E-05,0.00276056,0.993876349,6.12E-03,6.12E-03,0,0.097878331,0,0.670212727,0,0,0.225785291
8,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,35-40cm,UNB-1-35-40,912.0734624,1306.340018,4.081074331,0.157596135,8.331399596,4.057039527,0.138441006,8.295182078,2.40E-02,1.92E-02,3.62E-02,2.40E-02,1.92E-02,3.62E-02,,,,4.83E-02,8.63E-04,0.105,6.56E-02,4.53E-04,0.2144,0.417809527,0.048244006,0.894482078,,,,,,,3.52533,8.89E-02,7.0813,0.003124052,0.000120639,0.006377665,0.003105654,0.000105976,0.006349941,1.84E-05,1.47E-05,2.77244E-05,1.84E-05,1.47E-05,2.77244E-05,0.00E+00,0.00E+00,0,3.70E-05,6.61E-07,8.03772E-05,5.02E-05,3.47E-07,0.000164123,3.20E-04,3.69E-05,0.000684724,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,2.70E-03,6.80E-05,0.005420717,0.994110667,5.89E-03,5.89E-03,0,0.011835119,0.016074199,0.102377338,0,0,0.863824011
9,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,40-45cm,UNB-1-40-45,912.0734624,924.7895906,0.106524875,3.37E-02,0.227565137,7.17E-02,5.97E-03,0.175,3.48E-02,2.78E-02,5.26E-02,3.48E-02,2.78E-02,5.26E-02,,,,,,,,,,,,,,,,,,,7.17E-02,5.97E-03,0.175,0.000115188,3.6487E-05,0.000246072,7.75311E-05,6.45552E-06,0.000189232,3.77E-05,3.00E-05,5.68401E-05,3.77E-05,3.00E-05,5.68401E-05,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,7.75E-05,6.46E-06,0.000189232,0.673082225,3.27E-01,3.27E-01,0,0,0,0,0,0,0.673082225
10,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,0-5cm,UNB-2-00-05,912.0734624,211.7524475,283.8109891,6.56507874,496.8749011,283.6736538,6.455664005,496.667789,0.137335329,0.109414735,0.207112165,0.131088119,0.104437925,0.197692432,6.25E-03,4.98E-03,9.42E-03,1.62985809,0.027718457,4.553649091,3.825917623,0.090391046,8.16625684,278.1625781,6.336736502,483.871183,,,,,,,5.53E-02,8.18E-04,0.0767,1.340296145,0.031003555,2.346489531,1.33964758,0.030486845,2.345511444,6.49E-04,5.17E-04,0.000978086,6.19E-04,4.93E-04,0.000933602,2.95E-05,2.35E-05,4.44846E-05,7.70E-03,1.31E-04,0.021504588,1.81E-02,4.27E-04,0.038565112,1.31E+00,2.99E-02,2.285079529,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,2.61E-04,3.86E-06,0.000362215,0.999516103,4.84E-04,4.62E-04,2.20119E-05,0.005742759,0.013480513,0.980097983,0,0,0.000194848
