Material,Morphology,Material (Raw Data),Morphology (Raw Data),Unique_ID,Site,Location,Sample,Particle.x,Color,Plastic.or.not..morphology.,X1st.Order.Morph,Feret,MinFeret,Length,Length..mm.,Min Length (microns),Length (microns),Max Length (microns),Min Width (microns),Width (microns),Max Width (microns),Min Height (Microns),Height (microns),Max Height (Microns),Polymer.Class..openspecy.,Polymer..openspecy.,Min Density (mg/microns3),Density (mg/microns3),Max Density (mg/microns3),Min Volume (microns3),Volume (microns3),Max Volume (microns3),Min Mass (mg),Mass (mg),Max Mass (mg)
Poly(2-hydroxyethyl methacrylate),fiber,poly(2-hydroxyethyl methacrylate),fiber,SUB-2-6_G-01-250-500um_S1_A_12,Basin II,SUB-2-6,SUB-2-6-S1,12,green,,Fiber,1.888,0.412,0,1.888,1793.6,1888,1982.4,15,16.7,20.4,15,16.7,20.4,polyhydroxy(meth)acrylates,poly(2-hydroxyethyl methacrylate),1.22E-09,1.25E-09,1.28E-09,3.34E+05,4.14E+05,6.17E+05,4.07E-04,5.17E-04,7.90E-04
PET,fiber,poly(ethylene terephthalate),fiber,SUB-2-6_G-01-250-500um_S1_A_1,Basin II,SUB-2-6,SUB-2-6-S1,1,black,,Fiber,2.238,0.524,0,2.238,2126.1,2238,2349.9,15,16.7,20.4,15,16.7,20.4,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),1.44E-09,1.45E-09,1.46E-09,3.95E+05,4.90E+05,7.31E+05,5.70E-04,7.11E-04,1.07E-03
PET,fiber,poly(ethylene terephthalate),fiber,SUB-2-6_G-01-250-500um_S1_A_20,Basin II,SUB-2-6,SUB-2-6-S1,20,black,,Fiber,2.11,0.379,0,2.11,2004.5,2110,2215.5,15,16.7,20.4,15,16.7,20.4,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),1.44E-09,1.45E-09,1.46E-09,3.73E+05,4.62E+05,6.90E+05,5.37E-04,6.70E-04,1.01E-03
PMMA,fiber,poly(methyl methacrylate),fiber,SUB-4-9-1000um_S2_A_16,Lower Harbor,SUB-4-9,SUB-4-9-S2,16,translucent,,Fiber,0.279,0.162,0,0.279,265.05,279,292.95,15,16.7,20.4,15,16.7,20.4,Unknown,poly(methyl methacrylate),1.17E-09,1.18E-09,1.19E-09,4.93E+04,6.11E+04,9.12E+04,5.77E-05,7.21E-05,1.09E-04
PP,fiber,poly(propylene),fiber,SUB-1-2-01-250-500um_S1_A_66,Basin I/III,SUB-1-2,SUB-1-2-S1,66,gray,,Fiber,1.145,0.682,0,1.145,1087.75,1145,1202.25,15,16.7,20.4,15,16.7,20.4,Unknown,poly(propylene),9.98E-10,1.00E-09,1.00E-09,2.02E+05,2.51E+05,3.74E+05,2.02E-04,2.51E-04,3.74E-04
NA,fiber,,fiber,SUB-2-6_G-01-250-500um_S1_A_3,Basin II,SUB-2-6,SUB-2-6-S1,3,orange,,Fiber,0.769,0.159,0,0.769,730.55,769,807.45,15,16.7,20.4,15,16.7,20.4,mineral,mineral,1.25E-09,1.26E-09,1.28E-09,1.36E+05,1.68E+05,2.51E+05,1.70E-04,2.12E-04,3.22E-04
NA,fiber,,fiber,SUB-3-9-500um_S1_A_70,Middle Newport Bay,SUB-3-9,SUB-3-9-S1,70,black,,Fiber,2.034,0.526,0,2.034,1932.3,2034,2135.7,15,16.7,20.4,15,16.7,20.4,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(esters/ethers/diglycidylethers/terephthalates)s,1.25E-09,1.26E-09,1.28E-09,3.59E+05,4.46E+05,6.65E+05,4.49E-04,5.61E-04,8.51E-04
NA,fiber,,fiber,SUB-3-6-250um_S1_A_30,Middle Newport Bay,SUB-3-6,SUB-3-6-S1,30,green,,Fiber,0.502,0.269,0,0.502,476.9,502,527.1,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,8.87E+04,1.10E+05,1.64E+05,1.11E-04,1.39E-04,2.10E-04
NA,fiber,,fiber,SUB-3-6-250um_S1_B_6,Middle Newport Bay,SUB-3-6,SUB-3-6-S1,6,blue,,Fiber,0.361,0.189,0,0.361,342.95,361,379.05,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,6.38E+04,7.91E+04,1.18E+05,7.97E-05,9.96E-05,1.51E-04
NA,fiber,,fiber,SUB-3-7-500um_S1_A_16,Middle Newport Bay,SUB-3-7,SUB-3-7-S1,16,blue,,Fiber,0.833,0.591,0,0.833,791.35,833,874.65,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.47E+05,1.82E+05,2.72E+05,1.84E-04,2.30E-04,3.49E-04
NA,fiber,,fiber,SUB-3-7-PB_S1_A_4,Middle Newport Bay,SUB-3-7,SUB-3-7-S1,4,translucent,,Fiber,0.674,0.279,0,0.674,640.3,674,707.7,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.19E+05,1.48E+05,2.20E+05,1.49E-04,1.86E-04,2.82E-04
NA,fiber,,fiber,SUB-3-9-250um_S1_A_32,Middle Newport Bay,SUB-3-9,SUB-3-9-S1,32,translucent,,Fiber,1.101,0.812,0,1.101,1045.95,1101,1156.05,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.95E+05,2.41E+05,3.60E+05,2.43E-04,3.04E-04,4.61E-04
NA,fiber,,fiber,SUB-3-9-250um_S1_C_37,Middle Newport Bay,SUB-3-9,SUB-3-9-S1,37,translucent,,Fiber,1.017,0.409,0,1.017,966.15,1017,1067.85,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.80E+05,2.23E+05,3.32E+05,2.25E-04,2.81E-04,4.25E-04
NA,fiber,,fiber,SUB-4-1-250um_S1_J_41,Lower Harbor,SUB-4-1,SUB-4-1-S1,41,gray,,Fiber,0.639,0.403,0,0.639,607.05,639,670.95,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.13E+05,1.40E+05,2.09E+05,1.41E-04,1.76E-04,2.67E-04
NA,fiber,,fiber,SUB-4-1-500um_S1_B_41,Lower Harbor,SUB-4-1,SUB-4-1-S1,41,translucent,,Fiber,2.169,0.226,0,2.169,2060.55,2169,2277.45,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,3.83E+05,4.75E+05,7.09E+05,4.79E-04,5.99E-04,9.07E-04
NA,fiber,,fiber,SUB-4-11-1000um_S1_A_14,Lower Harbor,SUB-4-11,SUB-4-11-S1,14,black,,Fiber,0.538,0.235,0,0.538,511.1,538,564.9,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,9.51E+04,1.18E+05,1.76E+05,1.19E-04,1.48E-04,2.25E-04
NA,fiber,,fiber,SUB-4-11-250um_S1_B_90,Lower Harbor,SUB-4-11,SUB-4-11-S1,90,translucent,,Fiber,1.702,0.4,0,1.702,1616.9,1702,1787.1,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,3.01E+05,3.73E+05,5.56E+05,3.76E-04,4.70E-04,7.12E-04
NA,fiber,,fiber,SUB-4-2-250um_S1_E_53,Lower Harbor,SUB-4-2,SUB-4-2-S1,53,blue,,Fiber,0.686,0.16,0,0.686,651.7,686,720.3,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.21E+05,1.50E+05,2.24E+05,1.52E-04,1.89E-04,2.87E-04
NA,fiber,,fiber,SUB-4-7-250um_S1_A_11,Lower Harbor,SUB-4-7,SUB-4-7-S1,11,pink,,Fiber,1.082,0.836,0,1.082,1027.9,1082,1136.1,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.91E+05,2.37E+05,3.54E+05,2.39E-04,2.99E-04,4.53E-04
NA,fiber,,fiber,SUB-4-7-250um_S2_B_37,Lower Harbor,SUB-4-7,SUB-4-7-S2,37,blue,,Fiber,0.25,0.136,0,0.25,237.5,250,262.5,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,4.42E+04,5.48E+04,8.17E+04,5.52E-05,6.90E-05,1.05E-04
NA,fiber,,fiber,SUB-4-7-250um_S2_B_54,Lower Harbor,SUB-4-7,SUB-4-7-S2,54,translucent,,Fiber,0.457,0.203,0,0.457,434.15,457,479.85,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,8.08E+04,1.00E+05,1.49E+05,1.01E-04,1.26E-04,1.91E-04
NA,fiber,,fiber,SUB-2-3-G_01 (500-1mm)_S1-_B_21,Basin II,SUB-2-3,SUB-2-3-S1,21,black,,Fiber,1.178,0.693,0,1.178,1119.1,1178,1236.9,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,2.08E+05,2.58E+05,3.85E+05,2.60E-04,3.25E-04,4.93E-04
NA,fiber,,fiber,SUB-1-2-01-250-500um_S1_B_65,Basin I/III,SUB-1-2,SUB-1-2-S1,65,black,,Fiber,1.063,0.274,0,1.063,1009.85,1063,1116.15,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.88E+05,2.33E+05,3.47E+05,2.35E-04,2.93E-04,4.45E-04
NA,fiber,,fiber,SUB-1-2-01-250-500um_S1_B_66,Basin I/III,SUB-1-2,SUB-1-2-S1,66,black,,Fiber,0.739,0.52,0,0.739,702.05,739,775.95,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.31E+05,1.62E+05,2.42E+05,1.63E-04,2.04E-04,3.09E-04
NA,fiber,,fiber,SUB-1-2-01-250-500um_S1_C_8,Basin I/III,SUB-1-2,SUB-1-2-S1,8,black,,Fiber,1.449,0.198,0,1.449,1376.55,1449,1521.45,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,2.56E+05,3.17E+05,4.74E+05,3.20E-04,4.00E-04,6.06E-04
NA,fiber,,fiber,SUB-1-3-01-250-500um_S1_A_11,Basin I/III,SUB-1-3,SUB-1-3-S1,11,clear,,Fiber,0.849,0.243,0,0.849,806.55,849,891.45,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.50E+05,1.86E+05,2.77E+05,1.88E-04,2.34E-04,3.55E-04
NA,fiber,,fiber,SUB-1-4-01-250-500um_S1_A_12,Basin I/III,SUB-1-4,SUB-1-4-S1,12,gray,,Fiber,1.03,0.155,0,1.03,978.5,1030,1081.5,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.82E+05,2.26E+05,3.37E+05,2.28E-04,2.84E-04,4.31E-04
