,Material,Morphology,Material..Raw.Data.,Morphology..Raw.Data.,Unique_ID,Site,Location,Sample,Particle.x,Color,Plastic.or.not..morphology.,X1st.Order.Morph,Feret,MinFeret,Length,Length..mm.,Min.Length..microns.,Length..microns.,Max.Length..microns.,Min.Width..microns.,Width..microns.,Max.Width..microns.,Min.Height..Microns.,Height..microns.,Max.Height..Microns.,Polymer.Class..openspecy.,Polymer..openspecy.,Min.Density..mg.microns3.,Density..mg.microns3.,Max.Density..mg.microns3.,Min.Volume..microns3.,Volume..microns3.,Max.Volume..microns3.,Min.Mass..mg.,Mass..mg.,Max.Mass..mg.,OS_Plastic_Not,a,b,c,CSF,Deqi,water.density,particle.density,delta,D_dimless,P,W,Re,Cd,W_adj
1,Poly(2-hydroxyethyl methacrylate),fiber,poly(2-hydroxyethyl methacrylate),fiber,SUB-2-6_G-01-250-500um_S1_A_12,Basin II,SUB-2-6,SUB-2-6-S1,12,green,,Fiber,1.888,0.412,0,1.888,1793.6,1888,1982.4,15,16.7,20.4,15,16.7,20.4,polyhydroxy(meth)acrylates,poly(2-hydroxyethyl methacrylate),1.22E-09,1.25E-09,1.28E-09,334000,414000,617000,0.000407,0.000517,0.00079,,0.001888,1.67E-05,1.67E-05,0.094049662,1.67E-05,1026,1250,0.218323587,0.187515117,NA,0.001112183,0.01510037,38.55426426,0.001112183
2,PET,fiber,poly(ethylene terephthalate),fiber,SUB-2-6_G-01-250-500um_S1_A_1,Basin II,SUB-2-6,SUB-2-6-S1,1,black,,Fiber,2.238,0.524,0,2.238,2126.1,2238,2349.9,15,16.7,20.4,15,16.7,20.4,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),1.44E-09,1.45E-09,1.46E-09,395000,490000,731000,0.00057,0.000711,0.00107,,0.002238,1.67E-05,1.67E-05,0.086382982,1.67E-05,1026,1450,0.413255361,0.231957756,NA,0.001700184,0.023083795,31.22849191,0.001700184
3,PET,fiber,poly(ethylene terephthalate),fiber,SUB-2-6_G-01-250-500um_S1_A_20,Basin II,SUB-2-6,SUB-2-6-S1,20,black,,Fiber,2.11,0.379,0,2.11,2004.5,2110,2215.5,15,16.7,20.4,15,16.7,20.4,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),1.44E-09,1.45E-09,1.46E-09,373000,462000,690000,0.000537,0.00067,0.00101,,0.00211,1.67E-05,1.67E-05,0.088964554,1.67E-05,1026,1450,0.413255361,0.231957756,NA,0.001700026,0.023081654,31.23428619,0.001700026
4,PMMA,fiber,poly(methyl methacrylate),fiber,SUB-4-9-1000um_S2_A_16,Lower Harbor,SUB-4-9,SUB-4-9-S2,16,translucent,,Fiber,0.279,0.162,0,0.279,265.05,279,292.95,15,16.7,20.4,15,16.7,20.4,Unknown,poly(methyl methacrylate),1.17E-09,1.18E-09,1.19E-09,49300,61100,91200,5.77E-05,7.21E-05,0.000109,,0.000279,1.67E-05,1.67E-05,0.244656148,1.67E-05,1026,1180,0.150097466,0.16549842,NA,0.000864413,0.01173634,43.87881982,0.000864413
5,PP,fiber,poly(propylene),fiber,SUB-1-2-01-250-500um_S1_A_66,Basin I/III,SUB-1-2,SUB-1-2-S1,66,gray,,Fiber,1.145,0.682,0,1.145,1087.75,1145,1202.25,15,16.7,20.4,15,16.7,20.4,Unknown,poly(propylene),9.98E-10,1.00E-09,1.00E-09,202000,251000,374000,0.000202,0.000251,0.000374,,0.001145,1.67E-05,1.67E-05,0.120769006,1.67E-05,1026,1000,0.025341131,0.09146987,NA,0.000160658,0.002181285,214.4608934,-0.000160658
6,NA,fiber,,fiber,SUB-2-6_G-01-250-500um_S1_A_3,Basin II,SUB-2-6,SUB-2-6-S1,3,orange,,Fiber,0.769,0.159,0,0.769,730.55,769,807.45,15,16.7,20.4,15,16.7,20.4,mineral,mineral,1.25E-09,1.26E-09,1.28E-09,136000,168000,251000,0.00017,0.000212,0.000322,,0.000769,1.67E-05,1.67E-05,0.147365243,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.00114341,0.015524352,38.10556941,0.00114341
7,NA,fiber,,fiber,SUB-3-9-500um_S1_A_70,Middle Newport Bay,SUB-3-9,SUB-3-9-S1,70,black,,Fiber,2.034,0.526,0,2.034,1932.3,2034,2135.7,15,16.7,20.4,15,16.7,20.4,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(esters/ethers/diglycidylethers/terephthalates)s,1.25E-09,1.26E-09,1.28E-09,359000,446000,665000,0.000449,0.000561,0.000851,,0.002034,1.67E-05,1.67E-05,0.090611383,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001145067,0.01554684,37.99541377,0.001145067
8,NA,fiber,,fiber,SUB-3-6-250um_S1_A_30,Middle Newport Bay,SUB-3-6,SUB-3-6-S1,30,green,,Fiber,0.502,0.269,0,0.502,476.9,502,527.1,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,88700,110000,164000,0.000111,0.000139,0.00021,,0.000502,1.67E-05,1.67E-05,0.182392248,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.00114255,0.015512676,38.16295568,0.00114255
9,NA,fiber,,fiber,SUB-3-6-250um_S1_B_6,Middle Newport Bay,SUB-3-6,SUB-3-6-S1,6,blue,,Fiber,0.361,0.189,0,0.361,342.95,361,379.05,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,63800,79100,118000,7.97E-05,9.96E-05,0.000151,,0.000361,1.67E-05,1.67E-05,0.215082281,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001141821,0.01550278,38.21169364,0.001141821
10,NA,fiber,,fiber,SUB-3-7-500um_S1_A_16,Middle Newport Bay,SUB-3-7,SUB-3-7-S1,16,blue,,Fiber,0.833,0.591,0,0.833,791.35,833,874.65,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,147000,182000,272000,0.000184,0.00023,0.000349,,0.000833,1.67E-05,1.67E-05,0.141591028,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001143562,0.015526409,38.09547501,0.001143562
