"","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Unique_ID","Site","Location","Sample","Particle.x","Color","Plastic.or.not..morphology.","X1st.Order.Morph","Feret","MinFeret","Length","Length..mm.","Min.Length..microns.","Length..microns.","Max.Length..microns.","Min.Width..microns.","Width..microns.","Max.Width..microns.","Min.Height..Microns.","Height..microns.","Max.Height..Microns.","Polymer.Class..openspecy.","Polymer..openspecy.","Min.Density..mg.microns3.","Density..mg.microns3.","Max.Density..mg.microns3.","Min.Volume..microns3.","Volume..microns3.","Max.Volume..microns3.","Min.Mass..mg.","Mass..mg.","Max.Mass..mg.","X","X.1","X.2","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj"
"1","PP","fiber","poly(propylene)","fiber","UNB-2-00-05-1000um_A_21","Upper Newport Bay","UNB-2","UNB-2-00-05",21,"black","","Fiber",2.301,0.652,0,2.301,2185.95,2301,2416.05,15,16.7,20.4,15,16.7,20.4,"poly(propylene)","poly(propylene)",9.98e-10,1e-09,1e-09,407000,504000,752000,0.000406,0.000504,0.000752,NA,NA,NA,0.002301,1.67e-05,1.67e-05,0.0851922181738159,1.67e-05,1026,1000,0.0253411306042884,0.0914698699707562,NA,0.000160685296723785,0.00218166215877009,214.386741863546,-0.000160685296723785
"2","PP","fiber","poly(propylene)","fiber","UNB-3-00-05-500um_A_50","Upper Newport Bay","UNB-3","UNB-3-00-05",50,"black","","Fiber",2.232,0.312,0,2.232,2120.4,2232,2343.6,15,16.7,20.4,15,16.7,20.4,"poly(propylene)","poly(propylene)",9.98e-10,1e-09,1e-09,394000,489000,730000,0.000394,0.000489,0.00073,NA,NA,NA,0.002232,1.67e-05,1.67e-05,0.0864990107055947,1.67e-05,1026,1000,0.0253411306042884,0.0914698699707562,NA,0.000160684182928487,0.00218164703650873,214.389713951629,-0.000160684182928487
"3","ABS","fiber","acrylonitrile butadiene styrene (abs)","fiber","UNB-3-00-05-500um_A_47","Upper Newport Bay","UNB-3","UNB-3-00-05",47,"blue","","Fiber",2.105,0.165,0,2.105,1999.75,2105,2210.25,15,16.7,20.4,15,16.7,20.4,"acrylonitrile butadiene styrene (abs)","",1.11e-09,1.11e-09,1.11e-09,372000,461000,688000,0.000413,0.000512,0.000764,NA,NA,NA,0.002105,1.67e-05,1.67e-05,0.0890701503673414,1.67e-05,1026,1110,0.0818713450292398,0.135221798446248,NA,0.000579273188066242,0.00786492865098068,53.2953459382733,0.000579273188066242
"4","PET","fiber","poly(esters/ethers/diglycidylethers/terephthalates)s","fiber","UNB-1-00-05-250um_A_32","Upper Newport Bay","UNB-1","UNB-1-00-05",32,"blue","","Fiber",1.398,0.539,0,1.398,1328.1,1398,1467.9,15,16.7,20.4,15,16.7,20.4,"poly(esters/ethers/diglycidylethers/terephthalates)s","",1.44e-09,1.45e-09,1.46e-09,247000,306000,457000,0.000356,0.000444,0.000667,NA,NA,NA,0.001398,1.67e-05,1.67e-05,0.109296096104793,1.67e-05,1026,1450,0.413255360623782,0.231957755607296,NA,0.00169885800162526,0.0230657956318226,31.2772492363913,0.00169885800162526
"5","PET","fiber","poly(esters/ethers/diglycidylethers/terephthalates)s","fiber","UNB-3-00-05-500um_A_30","Upper Newport Bay","UNB-3","UNB-3-00-05",30,"pink","","Fiber",2.347,0.251,0,2.347,2229.65,2347,2464.35,15,16.7,20.4,15,16.7,20.4,"poly(esters/ethers/diglycidylethers/terephthalates)s","",1.44e-09,1.45e-09,1.46e-09,415000,514000,767000,0.000597,0.000745,0.00112,NA,NA,NA,0.002347,1.67e-05,1.67e-05,0.0843532249119525,1.67e-05,1026,1450,0.413255360623782,0.231957755607296,NA,0.00170030940214639,0.0230855016388981,31.2238749027193,0.00170030940214639
"6","Polyacrylonitriles (Nitriles)","fiber","polyacrylonitriles (nitriles)","fiber","UNB-3-00-05-500um_A_33","Upper Newport Bay","UNB-3","UNB-3-00-05",33,"pink","","Fiber",2.177,0.406,0,2.177,2068.15,2177,2285.85,15,16.7,20.4,15,16.7,20.4,"polyacrylonitriles (nitriles)","",1.09e-09,1.12e-09,1.14e-09,385000,477000,712000,0.000419,0.000534,0.000811,NA,NA,NA,0.002177,1.67e-05,1.67e-05,0.0875848561568734,1.67e-05,1026,1120,0.0916179337231969,0.140387863123535,NA,0.000624311574769916,0.00847642544606309,51.3454464322977,0.000624311574769916
"7",NA,"fiber","","fiber","UNB-2-00-05-500um_A_45","Upper Newport Bay","UNB-2","UNB-2-00-05",45,"blue","","Fiber",1.292,0.418,0,1.292,1227.4,1292,1356.6,15,16.7,20.4,15,16.7,20.4,"","",1.28804e-09,1.3042e-09,1.31858e-09,228000,283000,422000,0.000293674,0.00036909,0.00055644,NA,NA,NA,0.001292,1.67e-05,1.67e-05,0.113691233586531,1.67e-05,1026,1304.2,0.271150097465887,0.201560760176932,NA,0.00128380328307593,0.0174304998596489,35.9366025169284,0.00128380328307593
"8",NA,"fiber","","fiber","UNB-2-00-05-500um_B_38","Upper Newport Bay","UNB-2","UNB-2-00-05",38,"black","","Fiber",0.531,0.296,0,0.531,504.45,531,557.55,15,16.7,20.4,15,16.7,20.4,"","",1.28804e-09,1.3042e-09,1.31858e-09,93800,116000,174000,0.000120819,0.000151288,0.000229433,NA,NA,NA,0.000531,1.67e-05,1.67e-05,0.177341743991533,1.67e-05,1026,1304.2,0.271150097465887,0.201560760176932,NA,0.00128181582081847,0.0174035156159906,36.0481286981408,0.00128181582081847
"9",NA,"fiber","","fiber","UNB-2-00-05-500um_D_39","Upper Newport Bay","UNB-2","UNB-2-00-05",39,"gray","","Fiber",1.434,0.394,0,1.434,1362.3,1434,1505.7,15,16.7,20.4,15,16.7,20.4,"","",1.28804e-09,1.3042e-09,1.31858e-09,253000,314000,469000,0.000325875,0.00040952,0.000618413,NA,NA,NA,0.001434,1.67e-05,1.67e-05,0.107915458413402,1.67e-05,1026,1304.2,0.271150097465887,0.201560760176932,NA,0.00128400933493326,0.0174332974742972,35.9250695640922,0.00128400933493326
"10",NA,"fiber","","fiber","UNB-2-00-05-250um_C_42","Upper Newport Bay","UNB-2","UNB-2-00-05",42,"clear","","Fiber",0.561,0.561,0,0.561,532.95,561,589.05,15,16.7,20.4,15,16.7,20.4,"","",1.28804e-09,1.3042e-09,1.31858e-09,99100,123000,183000,0.000127645,0.000160417,0.0002413,NA,NA,NA,0.000561,1.67e-05,1.67e-05,0.172534839799797,1.67e-05,1026,1304.2,0.271150097465887,0.201560760176932,NA,0.00128195154190561,0.01740535833319,36.0404962220749,0.00128195154190561
