Site,Location,Lat,Long,Sample,Sub ww,Sub dw,Total_Cnt,Total_NF,Total_F,Total_fiber,Total_fiberbun,Total_film,Total_foam,Total_fragment,Total_pellet,Total_sphere,Total_TRWP,Conc_Total,Conc_NonFiber,Conc_Fiber,Conc_fiber,Conc_fiberbun,Conc_film,Conc_foam,Conc_fragment,Conc_pellet,Conc_sphere,Conc_TRWP,Perc_NF,Perc_F,Perc_fiber,Perc_fiberbun,Perc_film,Perc_foam,Perc_fragment,Perc_pellet,Perc_sphere,Perc_TRWP,Perc_VCOARSESAND,Perc_COARSESAND,Perc_MSAND,Perc_FSAND,Perc_VFSAND,Perc_VCOARSESILT,Perc_COARSESILT,Perc_MEDIUMSILT,Perc_FSILT,Perc_VFSILT,Perc_CLAY,GRAVEL_Perc,SAND_Perc,MUD_Perc,Av_ DryBD_gcc-1,StdDev_DryBD_gcc-1,Av_Perc_OM,StdDev_Perc_OM
Upper Bay Basin I/III,SUB-1-2,-117.869573,33.650444,SUB-1-2-S1,100,37.45,297,196,101,99,2,4,0,78,0,0,114,7.930574099,5.23364486,2.696929239,2.6435247,0.053404539,0.106809079,0,2.082777036,0,0,3.044058745,0.65993266,0.34006734,0.333333333,0.006734007,0.013468013,0,0.262626263,0,0,0.383838384,0,0.004547939,0.011651424,0.085498183,0.123855638,0.133249096,0.152892655,0.14597485,0.139257988,0.098587473,0.104484754,0,0.225553184,0.774446816,0.467192833,0.12307352,8.371344208,0.310557167
Upper Bay Basin I/III,SUB-1-3,-117.868073,33.650196,SUB-1-3-S1,100,38.82,131,69,62,60,2,0,0,22,0,0,47,3.374549201,1.777434312,1.597114889,1.545595054,0.051519835,0,0,0.566718187,0,0,1.210716126,0.526717557,0.473282443,0.458015267,0.015267176,0,0,0.167938931,0,0,0.358778626,0,0.004726995,0.026129325,0.090471677,0.095640928,0.1235236,0.14747106,0.146054514,0.140935054,0.105788995,0.119257852,0,0.216968925,0.783031075,0.383888367,0.119539404,5.83904332,1.805016154
Upper Bay Basin I/III,SUB-1-4,-117.868731,33.648807,SUB-1-4-S1,100,37.73,77,29,48,47,0,1,0,13,0,0,16,2.040816327,0.768619136,1.272197191,1.245693082,0,0.026504108,0,0.344553406,0,0,0.42406573,0.376623377,0.623376623,0.61038961,0,0.012987013,0,0.168831169,0,0,0.207792208,0,0,0.00041302,0.026928752,0.064568587,0.121513766,0.163331409,0.180826127,0.181070583,0.12963811,0.131709647,0,0.091910359,0.908089641,0.435827,0.074275435,8.017609671,1.521012679
Upper Bay Basin I/III,SUB-1-5,-117.87162,33.649724,SUB-1-5-S1,100,43.56,218,146,72,70,2,6,0,69,0,0,71,5.004591368,3.351698806,1.652892562,1.60697888,0.045913682,0.137741047,0,1.584022039,0,0,1.629935721,0.669724771,0.330275229,0.321100917,0.009174312,0.027522936,0,0.316513761,0,0,0.325688073,0,0,0.005689538,0.091136491,0.134253207,0.148374986,0.155295081,0.146157331,0.132295932,0.090696089,0.096101345,0,0.231079236,0.768920764,0.537249333,0.060105729,7.493859749,0.294816512
Upper Bay Basin I/III,SUB-1-6,-117.872276,33.648768,SUB-1-6-S1,100,39.34,145,77,68,68,0,4,0,39,0,0,34,3.685815963,1.957295374,1.72852059,1.72852059,0,0.101677682,0,0.991357397,0,0,0.864260295,0.531034483,0.468965517,0.468965517,0,0.027586207,0,0.268965517,0,0,0.234482759,0,0,0.000469317,0.037151228,0.103127728,0.134760073,0.162776641,0.170397293,0.162728593,0.113196203,0.115392923,0,0.140748274,0.859251726,0.449058333,0.046958771,7.841791134,0.436907904
Upper Bay Basin I/III,SUB-1-7,-117.87044,33.648966,SUB-1-7-S1,100,31.49,66,28,38,38,0,4,0,18,0,0,6,2.095903461,0.889171165,1.206732296,1.206732296,0,0.127024452,0,0.571610035,0,0,0.190536678,0.424242424,0.575757576,0.575757576,0,0.060606061,0,0.272727273,0,0,0.090909091,0,0,0.001199648,0.035176608,0.084848587,0.126341032,0.168807936,0.187028463,0.171188287,0.113904324,0.111505115,0,0.121224843,0.878775157,0.354670667,0.062237434,9.766586815,0.402306387
Upper Bay Basin II,SUB-2-1,-117.884951,33.646377,SUB-2-1-S1,100,43.58,123,51,72,72,0,2,0,41,0,0,8,2.822395594,1.170261588,1.652134006,1.652134006,0,0.045892611,0,0.940798531,0,0,0.183570445,0.414634146,0.585365854,0.585365854,0,0.016260163,0,0.333333333,0,0,0.06504065,0,0,0.000434813,0.024516724,0.09657004,0.165932785,0.181157421,0.161561857,0.1438374,0.101574949,0.12441401,0,0.121521577,0.878478423,0.495048667,0.045448012,8.337735364,0.368415675
Upper Bay Basin II,SUB-2-2,-117.886355,33.645834,SUB-2-2-S1,100,44.74,744,478,266,263,3,13,1,166,0,0,298,16.62941439,10.68395172,5.945462673,5.878408583,0.06705409,0.290567725,0.022351363,3.71032633,0,0,6.660706303,0.642473118,0.357526882,0.353494624,0.004032258,0.017473118,0.001344086,0.22311828,0,0,0.400537634,0,0,0.008544792,0.088685145,0.136396355,0.145224826,0.146717526,0.136828993,0.131570602,0.095613635,0.110418125,0,0.233626293,0.766373707,0.456644667,0.040741006,8.977652936,0.175290462
Upper Bay Basin II,SUB-2-3,-117.886357,33.646251,SUB-2-3-S1,100,37.6,706,483,223,219,4,13,0,146,0,0,324,18.77659574,12.84574468,5.930851064,5.824468085,0.106382979,0.345744681,0,3.882978723,0,0,8.617021277,0.684135977,0.315864023,0.3101983,0.005665722,0.018413598,0,0.206798867,0,0,0.458923513,0,0.00572659,0.008253639,0.052188722,0.093914288,0.13511465,0.16775172,0.159654455,0.147908667,0.107804025,0.121683244,0,0.160083239,0.839916761,0.436684667,0.065423814,11.02125922,0.208195739
Upper Bay Basin II,SUB-2-4,-117.886906,33.644638,SUB-2-4-S1,100,44.79,202,139,63,61,2,6,0,65,0,0,68,4.509935253,3.103371288,1.406563965,1.361911141,0.044652824,0.133958473,0,1.451216789,0,0,1.518196026,0.688118812,0.311881188,0.301980198,0.00990099,0.02970297,0,0.321782178,0,0,0.336633663,0,0,0.004204966,0.080026898,0.13169016,0.154376542,0.153344982,0.137323953,0.128756881,0.093790559,0.116485061,0,0.215922023,0.784077977,0.529276333,0.201306214,9.90092292,4.619938898
Upper Bay Basin II,SUB-2-5,-117.888464,33.645288,SUB-2-5-S1,100,50.99,148,104,44,44,0,2,1,56,0,0,45,2.902529908,2.039615611,0.862914297,0.862914297,0,0.039223377,0.019611689,1.09825456,0,0,0.882525985,0.702702703,0.297297297,0.297297297,0,0.013513514,0.006756757,0.378378378,0,0,0.304054054,1.92E-05,0.003394486,0.012644275,0.134048362,0.187562734,0.138484806,0.117989396,0.106825554,0.108506439,0.084350313,0.106174393,0,0.337669099,0.662330901,0.626484,0.087835527,7.01819166,0.33880243
