Site,Location,Lat,Long,Sample,Sub ww,Sub dw,Av_Total_gram,Min_Total_gram,Max_Total_gram,Av_Total_NF,Min_Total_NF,Max_Total_NF,Av_Total_F,Min_Total_F,Max_Total_F,Av_Total_fiber,Min_Total_fiber,Max_Total_fiber,Av_Total_fiberbun,Min_Total_fiberbun,Max_Total_fiberbun,Av_Total_film,Min_Total_film,Max_Total_film,Av_Total_foam,Min_Total_foam,Max_Total_foam,Av_Total_fragment,Min_Total_fragment,Max_Total_fragment,Av_Total_pellet,Min_Total_pellet,Max_Total_pellet,Av_Total_sphere,Min_Total_sphere,Max_Total_sphere,Av_Total_TRWP,Min_Total_TRWP,Max_Total_TRWP,Av_Conc_Total,Min_Conc_Total,Max_Conc_Total,Av_Conc_NonFiber,Min_Conc_NonFiber,Max_Conc_NonFiber,Av_Conc_Fiber,Min_Conc_Fiber,Max_Conc_Fiber,Av_Conc_fiber,Min_Conc_fiber,Max_Conc_fiber,Av_Conc_fiberbun,Min_Conc_fiberbun,Max_Conc_fiberbun,Av_Conc_film,Min_Conc_film,Max_Conc_film,Av_Conc_foam,Min_Conc_foam,Max_Conc_foam,Av_Conc_fragment,Min_Conc_fragment,Max_Conc_fragment,Av_Conc_pellet,Min_Conc_pellet,Max_Conc_pellet,Av_Conc_sphere,Min_Conc_sphere,Max_Conc_sphere,Av_Conc_TRWP,Min_Conc_TRWP,Max_Conc_TRWP,Perc_NF,Perc_F,Perc_fiber,Perc_fiberbun,Perc_film,Perc_foam,Perc_fragment,Perc_pellet,Perc_sphere,Perc_TRWP,Perc_VCOARSESAND,Perc_COARSESAND,Perc_MSAND,Perc_FSAND,Perc_VFSAND,Perc_VCOARSESILT,Perc_COARSESILT,Perc_MEDIUMSILT,Perc_FSILT,Perc_VFSILT,Perc_CLAY,GRAVEL_Perc,SAND_Perc,MUD_Perc,Av_ DryBD_gcc-1,StdDev_DryBD_gcc-1
Upper Bay Basin I/III,SUB-1-2,-117.869573,33.650444,SUB-1-2-S1,100,37.45,0.135111095,0.090591755,0.229633445,0.135032419,0.090528713,0.229514702,7.87E-05,6.30E-05,0.000118744,7.25E-05,5.81E-05,0.000109328,6.21E-06,4.97E-06,9.42E-06,7.18E-05,6.81E-05,9.55E-05,0,0,0,0.102763948,0.08968004,0.147536245,0,0,0,0,0,0,0.032196634,0.000780616,0.081882908,0.003607773,0.002419005,0.006131734,0.003605672,0.002417322,0.006128563,2.10E-06,1.68E-06,3.17E-06,1.93E-06,1.55E-06,2.92E-06,1.66E-07,1.33E-07,2.51E-07,1.92E-06,1.82E-06,2.55E-06,0,0,0,0.002744031,0.002394661,0.003939553,0,0,0,0,0,0,0.000859723,2.08E-05,0.002186459,0.999417701,0.000582299,0.000536316,4.60E-05,0.000531691,0,0.760588526,0,0,0.238297483,0,0.004547939,0.011651424,0.085498183,0.123855638,0.133249096,0.152892655,0.14597485,0.139257988,0.098587473,0.104484754,0,0.225553184,0.774446816,0.467192833,0.12307352
Upper Bay Basin I/III,SUB-1-3,-117.868073,33.650196,SUB-1-3-S1,100,38.82,0.028659634,0.002231316,0.070028516,0.02862476,0.002203436,0.069975622,3.49E-05,2.79E-05,5.29E-05,2.87E-05,2.29E-05,4.35E-05,6.21E-06,4.97E-06,9.42E-06,0,0,0,0,0,0,0.017292547,0.00197904,0.04106824,0,0,0,0,0,0,0.011332213,0.000224396,0.028907382,0.00073827,5.75E-05,0.001803929,0.000737371,5.68E-05,0.001802566,8.98E-07,7.18E-07,1.36E-06,7.38E-07,5.90E-07,1.12E-06,1.60E-07,1.28E-07,2.43E-07,0,0,0,0,0,0,0.000445455,5.10E-05,0.001057914,0,0,0,0,0,0,0.000291917,5.78E-06,0.000744652,0.998783179,0.001216821,0.001000041,0.00021678,0,0,0.603376423,0,0,0.395406756,0,0.004726995,0.026129325,0.090471677,0.095640928,0.1235236,0.14747106,0.146054514,0.140935054,0.105788995,0.119257852,0,0.216968925,0.783031075,0.383888367,0.119539404
Upper Bay Basin I/III,SUB-1-4,-117.868731,33.648807,SUB-1-4-S1,100,37.73,0.012082467,0.00931907,0.019505895,0.002760539,0.00035977,0.007959471,0.009321929,0.008959301,0.011546424,2.39E-05,1.91E-05,3.62E-05,0,0,0,1.35E-05,1.28E-05,0.000017963,0,0,0,0.011019704,0.009259688,0.016848507,0,0,0,0,0,0,0.001025393,2.75E-05,0.002603248,0.000320235,0.000246994,0.000516986,7.32E-05,9.54E-06,0.000210959,0.000247069,0.000237458,0.000306028,6.33E-07,5.06E-07,9.59E-07,0,0,0,3.58E-07,3.39E-07,4.76E-07,0,0,0,0.000292067,0.00024542,0.000446555,0,0,0,0,0,0,2.72E-05,7.29E-07,6.90E-05,0.228474753,0.771525247,0.001975164,0,0.001117752,0,0.912040903,0,0,0.084866181,0,0,0.00041302,0.026928752,0.064568587,0.121513766,0.163331409,0.180826127,0.181070583,0.12963811,0.131709647,0,0.091910359,0.908089641,0.435827,0.074275435
Upper Bay Basin I/III,SUB-1-5,-117.87162,33.649724,SUB-1-5-S1,100,43.56,0.041036272,0.022752197,0.078971744,0.040991659,0.022716494,0.078904155,4.46E-05,3.57E-05,6.76E-05,3.84E-05,3.07E-05,5.82E-05,6.21E-06,4.97E-06,9.42E-06,0.000168311,0.000140247,0.000241956,0,0,0,0.034736963,0.022447399,0.063150832,0,0,0,0,0,0,0.006086385,0.000128849,0.015511367,0.000942063,0.000522319,0.001812942,0.000941039,0.000521499,0.00181139,1.02E-06,8.20E-07,1.55E-06,8.82E-07,7.05E-07,1.34E-06,1.43E-07,1.14E-07,2.16E-07,3.86E-06,3.22E-06,5.55E-06,0,0,0,0.000797451,0.000515321,0.001449744,0,0,0,0,0,0,0.000139724,2.96E-06,0.000356092,0.998912825,0.001087175,0.000935776,0.000151398,0.004101526,0,0.846494102,0,0,0.148317198,0,0,0.005689538,0.091136491,0.134253207,0.148374986,0.155295081,0.146157331,0.132295932,0.090696089,0.096101345,0,0.231079236,0.768920764,0.537249333,0.060105729
Upper Bay Basin I/III,SUB-1-6,-117.872276,33.648768,SUB-1-6-S1,100,39.34,0.017405087,0.002630888,0.040356785,0.017370253,0.002603009,0.040303981,3.48E-05,2.79E-05,5.28E-05,3.48E-05,2.79E-05,5.28E-05,0,0,0,0.000164973,0.000156292,0.000219427,0,0,0,0.015108201,0.002392649,0.034756812,0,0,0,0,0,0,0.00209708,5.41E-05,0.005327742,0.000442427,6.69E-05,0.001025846,0.000441542,6.62E-05,0.001024504,8.85E-07,7.09E-07,1.34E-06,8.85E-07,7.09E-07,1.34E-06,0,0,0,4.19E-06,3.97E-06,5.58E-06,0,0,0,0.000384042,6.08E-05,0.000883498,0,0,0,0,0,0,5.33E-05,1.37E-06,0.000135428,0.997998642,0.002001358,0.002001358,0,0.009478431,0,0.868033607,0,0,0.120486604,0,0,0.000469317,0.037151228,0.103127728,0.134760073,0.162776641,0.170397293,0.162728593,0.113196203,0.115392923,0,0.140748274,0.859251726,0.449058333,0.046958771
Upper Bay Basin I/III,SUB-1-7,-117.87044,33.648966,SUB-1-7-S1,100,31.49,0.003639106,0.000215981,0.008774654,0.003613356,0.000195367,0.008735665,2.58E-05,2.06E-05,3.90E-05,2.58E-05,2.06E-05,3.90E-05,0,0,0,6.10E-05,5.78E-05,8.11E-05,0,0,0,0.003176458,0.000129013,0.007697591,0,0,0,0,0,0,0.000375908,8.57E-06,0.000956952,0.000115564,6.86E-06,0.000278649,0.000114746,6.20E-06,0.000277411,8.18E-07,6.55E-07,1.24E-06,8.18E-07,6.55E-07,1.24E-06,0,0,0,1.94E-06,1.83E-06,2.58E-06,0,0,0,0.000100872,4.10E-06,0.000244446,0,0,0,0,0,0,1.19E-05,2.72E-07,3.04E-05,0.992924082,0.007075918,0.007075918,0,0.016759761,0,0.872867532,0,0,0.103296788,0,0,0.001199648,0.035176608,0.084848587,0.126341032,0.168807936,0.187028463,0.171188287,0.113904324,0.111505115,0,0.121224843,0.878775157,0.354670667,0.062237434
Upper Bay Basin II,SUB-2-1,-117.884951,33.646377,SUB-2-1-S1,100,43.58,0.033460472,0.005917177,0.102779561,0.033422046,0.005886422,0.102721319,3.84E-05,3.08E-05,5.82E-05,3.84E-05,3.08E-05,5.82E-05,0,0,0,8.60E-05,8.14E-05,0.000114321,0,0,0,0.032483083,0.005787314,0.100432411,0,0,0,0,0,0,0.000853013,1.77E-05,0.002174587,0.000767794,0.000135777,0.002358411,0.000766912,0.000135072,0.002357075,8.82E-07,7.06E-07,1.34E-06,8.82E-07,7.06E-07,1.34E-06,0,0,0,1.97E-06,1.87E-06,2.62E-06,0,0,0,0.000745367,0.000132797,0.002304553,0,0,0,0,0,0,1.96E-05,4.06E-07,4.99E-05,0.998851597,0.001148403,0.001148403,0,0.00256871,0,0.970789727,0,0,0.025493159,0,0,0.000434813,0.024516724,0.09657004,0.165932785,0.181157421,0.161561857,0.1438374,0.101574949,0.12441401,0,0.121521577,0.878478423,0.495048667,0.045448012
Upper Bay Basin II,SUB-2-2,-117.886355,33.645834,SUB-2-2-S1,100,44.74,0.412664301,0.063167116,0.894351604,0.412502443,0.063037625,0.894105952,0.000161857,0.000129491,0.000245652,0.000152538,0.000122032,0.000231529,9.32E-06,7.46E-06,1.41E-05,0.001107323,0.000315872,0.003209909,0.00041934,2.90E-06,0.001476597,0.356156799,0.060682219,0.751227543,0,0,0,0,0,0,0.054818981,0.002036632,0.138191903,0.00922361,0.001411871,0.019989978,0.009219992,0.001408977,0.019984487,3.62E-06,2.89E-06,5.49E-06,3.41E-06,2.73E-06,5.17E-06,2.08E-07,1.67E-07,3.16E-07,2.48E-05,7.06E-06,7.17E-05,9.37E-06,6.48E-08,3.30E-05,0.00796059,0.00135633,0.01679096,0,0,0,0,0,0,0.001225279,4.55E-05,0.003088777,0.999607775,0.000392225,0.000369642,2.26E-05,0.00268335,0.001016177,0.86306666,0,0,0.132841588,0,0,0.008544792,0.088685145,0.136396355,0.145224826,0.146717526,0.136828993,0.131570602,0.095613635,0.110418125,0,0.233626293,0.766373707,0.456644667,0.040741006
Upper Bay Basin II,SUB-2-3,-117.886357,33.646251,SUB-2-3-S1,100,37.6,0.339264927,0.139991544,0.785892165,0.339101185,0.139860479,0.785644116,0.000163743,0.000131065,0.00024805,0.000151317,0.00012112,0.000229219,1.24E-05,9.95E-06,1.88E-05,0.000251974,0.000200459,0.000386676,0,0,0,0.271394829,0.138162022,0.613468683,0,0,0,0,0,0,0.067454382,0.001497998,0.171788757,0.009023003,0.003723179,0.020901387,0.009018649,0.003719694,0.02089479,4.35E-06,3.49E-06,6.60E-06,4.02E-06,3.22E-06,6.10E-06,3.30E-07,2.65E-07,5.01E-07,6.70E-06,5.33E-06,1.03E-05,0,0,0,0.007217948,0.003674522,0.016315656,0,0,0,0,0,0,0.001794,3.98E-05,0.00456885,0.99951736,0.00048264,0.000446014,3.66E-05,0.000742706,0,0.799949559,0,0,0.198825095,0,0.00572659,0.008253639,0.052188722,0.093914288,0.13511465,0.16775172,0.159654455,0.147908667,0.107804025,0.121683244,0,0.160083239,0.839916761,0.436684667,0.065423814
Upper Bay Basin II,SUB-2-4,-117.886906,33.644638,SUB-2-4-S1,100,44.79,0.039731219,0.010557871,0.085695445,0.03969235,0.010526759,0.085636564,3.89E-05,3.11E-05,5.89E-05,3.27E-05,2.61E-05,4.95E-05,6.21E-06,4.97E-06,9.42E-06,5.85E-05,4.59E-05,0.000101735,0,0,0,0.028862561,0.01027884,0.058038793,0,0,0,0,0,0,0.010771281,0.000201999,0.027496037,0.000887056,0.000235719,0.001913272,0.000886188,0.000235025,0.001911957,8.68E-07,6.95E-07,1.31E-06,7.29E-07,5.84E-07,1.10E-06,1.39E-07,1.11E-07,2.10E-07,1.31E-06,1.03E-06,2.27E-06,0,0,0,0.000644397,0.00022949,0.001295798,0,0,0,0,0,0,0.000240484,4.51E-06,0.000613888,0.999021697,0.000978303,0.000821932,0.000156371,0.001472598,0,0.726445387,0,0,0.271103712,0,0,0.004204966,0.080026898,0.13169016,0.154376542,0.153344982,0.137323953,0.128756881,0.093790559,0.116485061,0,0.215922023,0.784077977,0.529276333,0.201306214
