Site,Location,Lat,Long,Sample,Sub ww,Sub dw,Av_Total_gram,Min_Total_gram,Max_Total_gram,Av_Total_NF,Min_Total_NF,Max_Total_NF,Av_Total_F,Min_Total_F,Max_Total_F,Av_Total_fiber,Min_Total_fiber,Max_Total_fiber,Av_Total_fiberbun,Min_Total_fiberbun,Max_Total_fiberbun,Av_Total_film,Min_Total_film,Max_Total_film,Av_Total_foam,Min_Total_foam,Max_Total_foam,Av_Total_fragment,Min_Total_fragment,Max_Total_fragment,Av_Total_pellet,Min_Total_pellet,Max_Total_pellet,Av_Total_sphere,Min_Total_sphere,Max_Total_sphere,Av_Total_TRWP,Min_Total_TRWP,Max_Total_TRWP,Av_Conc_Total,Min_Conc_Total,Max_Conc_Total,Av_Conc_NonFiber,Min_Conc_NonFiber,Max_Conc_NonFiber,Av_Conc_Fiber,Min_Conc_Fiber,Max_Conc_Fiber,Av_Conc_fiber,Min_Conc_fiber,Max_Conc_fiber,Av_Conc_fiberbun,Min_Conc_fiberbun,Max_Conc_fiberbun,Av_Conc_film,Min_Conc_film,Max_Conc_film,Av_Conc_foam,Min_Conc_foam,Max_Conc_foam,Av_Conc_fragment,Min_Conc_fragment,Max_Conc_fragment,Av_Conc_pellet,Min_Conc_pellet,Max_Conc_pellet,Av_Conc_sphere,Min_Conc_sphere,Max_Conc_sphere,Av_Conc_TRWP,Min_Conc_TRWP,Max_Conc_TRWP,Perc_NF,Perc_F,Perc_fiber,Perc_fiberbun,Perc_film,Perc_foam,Perc_fragment,Perc_pellet,Perc_sphere,Perc_TRWP,Perc_VCOARSESAND,Perc_COARSESAND,Perc_MSAND,Perc_FSAND,Perc_VFSAND,Perc_VCOARSESILT,Perc_COARSESILT,Perc_MEDIUMSILT,Perc_FSILT,Perc_VFSILT,Perc_CLAY,GRAVEL_Perc,SAND_Perc,MUD_Perc,Av_ DryBD_gcc-1,StdDev_DryBD_gcc-1
Upper Bay Basin I/III,SUB-1-2,-117.869573,33.650444,SUB-1-2-S1,100,37.45,0.070623809,0.001552876,0.149176168,0.070545095,0.001489847,0.149057432,0.000078714,6.30E-05,0.000118736,0.000072494,5.80E-05,0.000109316,0.00000622,0.00000498,0.00000942,0.00007151,0.000001219,0.0002087,,,,0.03828534,0.000708123,0.080477,,,,,,,0.032188245,0.000780505,0.068371732,0.001885816,4.15E-05,0.003983342,0.001883714,3.98E-05,0.003980172,2.10E-06,1.68E-06,3.17E-06,1.94E-06,1.55E-06,2.92E-06,1.66E-07,1.33E-07,2.52E-07,1.91E-06,3.26E-08,5.57E-06,0,0,0,0.001022305,1.89E-05,0.002148919,0,0,0,0,0,0,0.000859499,2.08E-05,0.00182568,0.998885447,0.001114553,0.001026481,8.81E-05,0.001012548,0,0.542102452,0,0,0.455770447,0,0.004547939,0.011651424,0.085498183,0.123855638,0.133249096,0.152892655,0.14597485,0.139257988,0.098587473,0.104484754,0,0.225553184,0.774446816,0.467192833,0.12307352
Upper Bay Basin I/III,SUB-1-3,-117.868073,33.650196,SUB-1-3-S1,100,38.82,0.028673519,0.000678111,0.05617688,0.02863863,0.000650221,0.056124,0.000034889,0.00002789,0.00005288,0.000028669,0.00002291,0.00004346,0.00000622,0.00000498,0.00000942,,,,,,,0.0173066,0.000425801,0.0339549,,,,,,,0.01133203,0.00022442,0.0221691,0.000738627,1.75E-05,0.001447112,0.000737729,1.67E-05,0.00144575,8.99E-07,7.18E-07,1.36E-06,7.39E-07,5.90E-07,1.12E-06,1.60E-07,1.28E-07,2.43E-07,0,0,0,0,0,0,0.000445817,1.10E-05,0.000874675,0,0,0,0,0,0,0.000291912,5.78E-06,0.000571074,0.998783233,0.001216767,0.000999842,0.000216925,0,0,0.603574329,0,0,0.395208903,0,0.004726995,0.026129325,0.090471677,0.095640928,0.1235236,0.14747106,0.146054514,0.140935054,0.105788995,0.119257852,0,0.216968925,0.783031075,0.383888367,0.119539404
Upper Bay Basin I/III,SUB-1-4,-117.868731,33.648807,SUB-1-4-S1,100,37.73,0.004326349,0.000111729,0.016791076,0.004302478,9.26305E-05,0.016754899,0.000023871,0.000019099,0.000036177,0.000023871,0.000019099,0.000036177,,,,0.0000134,0.000000229,0.0000392,,,,0.003263078,6.48985E-05,0.014462299,,,,,,,0.001026,0.000027503,0.0022534,0.000114666,2.96129E-06,0.000445032,0.000114033,2.45509E-06,0.000444074,6.3268E-07,5.06202E-07,9.58839E-07,6.3268E-07,5.06202E-07,9.58839E-07,0,0,0,3.55155E-07,6.06944E-09,1.03896E-06,0,0,0,8.6485E-05,1.72008E-06,0.00038331,0,0,0,0,0,0,2.71932E-05,7.28942E-07,5.97244E-05,0.994482414,0.005517586,0.005517586,0,0.0030973,0,0.754233637,0,0,0.237151477,0,0,0.00041302,0.026928752,0.064568587,0.121513766,0.163331409,0.180826127,0.181070583,0.12963811,0.131709647,0,0.091910359,0.908089641,0.435827,0.074275435
Upper Bay Basin I/III,SUB-1-5,-117.87162,33.649724,SUB-1-5-S1,100,43.56,0.041148234,0.00092909,0.081209922,0.04110362,0.000893382,0.08114234,0.000044614,0.000035708,0.000067582,0.000038394,0.000030728,0.000058162,0.00000622,0.00000498,0.00000942,0.00016765,0.000002871,0.00047447,,,,0.03484817,0.000761687,0.06905045,,,,,,,0.0060878,0.000128824,0.01161742,0.000944633,2.13E-05,0.001864323,0.000943609,2.05E-05,0.001862772,1.02E-06,8.20E-07,1.55E-06,8.81E-07,7.05E-07,1.34E-06,1.43E-07,1.14E-07,2.16E-07,3.85E-06,6.59E-08,1.09E-05,0,0,0,0.000800004,1.75E-05,0.00158518,0,0,0,0,0,0,0.000139757,2.96E-06,0.000266699,0.998915774,0.001084226,0.000933066,0.000151161,0.004074294,0,0.846893454,0,0,0.147948026,0,0,0.005689538,0.091136491,0.134253207,0.148374986,0.155295081,0.146157331,0.132295932,0.090696089,0.096101345,0,0.231079236,0.768920764,0.537249333,0.060105729
Upper Bay Basin I/III,SUB-1-6,-117.872276,33.648768,SUB-1-6-S1,100,39.34,0.017417714,0.000571783,0.036428408,0.01738289,0.000543907,0.0363756,0.000034824,0.000027876,0.000052808,0.000034824,0.000027876,0.000052808,,,,0.00016422,0.000002803,0.0004791,,,,0.0151215,0.000487033,0.0316884,,,,,,,0.00209717,0.000054071,0.0042081,0.000442748,1.45E-05,0.000925989,0.000441863,1.38E-05,0.000924647,8.85E-07,7.09E-07,1.34E-06,8.85E-07,7.09E-07,1.34E-06,0,0,0,4.17E-06,7.13E-08,1.22E-05,0,0,0,0.00038438,1.24E-05,0.000805501,0,0,0,0,0,0,5.33E-05,1.37E-06,0.000106967,0.998000656,0.001999344,0.001999344,0,0.009428333,0,0.868167889,0,0,0.120404434,0,0,0.000469317,0.037151228,0.103127728,0.134760073,0.162776641,0.170397293,0.162728593,0.113196203,0.115392923,0,0.140748274,0.859251726,0.449058333,0.046958771
Upper Bay Basin I/III,SUB-1-7,-117.87044,33.648966,SUB-1-7-S1,100,31.49,0.003636633,0.000102216,0.006058791,0.00361088,8.16E-05,0.0060198,0.000025753,0.000020617,0.000038991,0.000025753,0.000020617,0.000038991,,,,0.00006078,1.03E-06,0.0001776,,,,0.0031737,0.000071995,0.0051181,,,,,,,0.0003764,0.00000857,0.0007241,0.000115485,3.25E-06,0.000192404,0.000114668,2.59E-06,0.000191165,8.18E-07,6.55E-07,1.24E-06,8.18E-07,6.55E-07,1.24E-06,0,0,0,1.93E-06,3.28E-08,5.64E-06,0,0,0,0.000100784,2.29E-06,0.000162531,0,0,0,0,0,0,1.20E-05,2.72E-07,2.30E-05,0.99291845,0.00708155,0.00708155,0,0.016713262,0,0.872702855,0,0,0.103502333,0,0,0.001199648,0.035176608,0.084848587,0.126341032,0.168807936,0.187028463,0.171188287,0.113904324,0.111505115,0,0.121224843,0.878775157,0.354670667,0.062237434
Upper Bay Basin II,SUB-2-1,-117.884951,33.646377,SUB-2-1-S1,100,43.58,0.033428076,0.000704836,0.071798139,0.03338965,0.000674078,0.07173991,0.000038426,3.08E-05,0.000058229,0.000038426,3.08E-05,0.000058229,,,,0.00008553,0.000001459,0.0002497,,,,0.03245132,0.000654934,0.06996991,,,,,,,0.0008528,0.000017685,0.0015203,0.000767051,1.62E-05,0.001647502,0.000766169,1.55E-05,0.001646166,8.82E-07,7.06E-07,1.34E-06,8.82E-07,7.06E-07,1.34E-06,0,0,0,1.96E-06,3.35E-08,5.73E-06,0,0,0,0.000744638,1.50E-05,0.001605551,0,0,0,0,0,0,1.96E-05,4.06E-07,3.49E-05,0.998850487,0.001149513,0.001149513,0,0.002558628,0,0.97078037,0,0,0.025511489,0,0,0.000434813,0.024516724,0.09657004,0.165932785,0.181157421,0.161561857,0.1438374,0.101574949,0.12441401,0,0.121521577,0.878478423,0.495048667,0.045448012
Upper Bay Basin II,SUB-2-2,-117.886355,33.645834,SUB-2-2-S1,100,44.74,0.222618228,0.005258078,0.428767837,0.22245639,0.005128579,0.4285222,0.000161838,0.000129499,0.000245637,0.000152508,0.000122029,0.000231507,0.00000933,0.00000747,0.00001413,0.00110583,1.82E-05,0.00372083,0.000419,0.0000029,0.000881,0.18444727,0.004297299,0.3504214,,,,,,,0.03648429,0.000810154,0.07349897,0.004975821,0.000117525,0.009583546,0.004972204,0.000114631,0.009578055,3.62E-06,2.89E-06,5.49E-06,3.41E-06,2.73E-06,5.17E-06,2.09E-07,1.67E-07,3.16E-07,2.47E-05,4.07E-07,8.32E-05,9.37E-06,6.48E-08,1.97E-05,0.004122648,9.61E-05,0.007832396,0,0,0,0,0,0,0.000815474,1.81E-05,0.001642802,0.999273023,0.000726977,0.000685067,4.19E-05,0.004967383,0.001882146,0.828536241,0,0,0.163887253,0,0,0.008544792,0.088685145,0.136396355,0.145224826,0.146717526,0.136828993,0.131570602,0.095613635,0.110418125,0,0.233626293,0.766373707,0.456644667,0.040741006
Upper Bay Basin II,SUB-2-3,-117.886357,33.646251,SUB-2-3-S1,100,37.6,0.174967605,0.004736782,0.354707801,0.17480383,0.004605711,0.35445974,0.000163775,0.000131071,0.000248061,0.000151335,0.000121111,0.000229221,0.00001244,0.00000996,0.00001884,0.00025103,4.29E-06,0.00071864,,,,0.1070826,0.00310342,0.2215967,,,,,,,0.0674702,0.001498002,0.1321444,0.004653394,0.000125978,0.009433718,0.004649038,0.000122492,0.009427121,4.36E-06,3.49E-06,6.60E-06,4.02E-06,3.22E-06,6.10E-06,3.31E-07,2.65E-07,5.01E-07,6.68E-06,1.14E-07,1.91E-05,0,0,0,0.002847941,8.25E-05,0.005893529,0,0,0,0,0,0,0.00179442,3.98E-05,0.003514479,0.999063968,0.000936032,0.000864933,7.11E-05,0.001434723,0,0.612013863,0,0,0.385615382,0,0.00572659,0.008253639,0.052188722,0.093914288,0.13511465,0.16775172,0.159654455,0.147908667,0.107804025,0.121683244,0,0.160083239,0.839916761,0.436684667,0.065423814
Upper Bay Basin II,SUB-2-4,-117.886906,33.644638,SUB-2-4-S1,100,44.79,0.039755649,0.001303148,0.081889861,0.039716767,0.00127203,0.08183097,0.000038882,3.11E-05,0.000058891,0.000032662,2.61E-05,0.000049471,0.00000622,0.00000498,0.00000942,0.000058307,9.83E-07,0.00017786,,,,0.02889106,0.001069003,0.06133831,,,,,,,0.0107674,0.000202043,0.0203148,0.000887601,2.91E-05,0.001828307,0.000886733,2.84E-05,0.001826992,8.68E-07,6.95E-07,1.31E-06,7.29E-07,5.84E-07,1.10E-06,1.39E-07,1.11E-07,2.10E-07,1.30E-06,2.20E-08,3.97E-06,0,0,0,0.000645034,2.39E-05,0.001369464,0,0,0,0,0,0,0.000240397,4.51E-06,0.000453557,0.999021975,0.000978025,0.000821569,0.000156456,0.001466634,0,0.726715844,0,0,0.270839498,0,0,0.004204966,0.080026898,0.13169016,0.154376542,0.153344982,0.137323953,0.128756881,0.093790559,0.116485061,0,0.215922023,0.784077977,0.529276333,0.201306214
