Sample ID,Top,Bottom,width,plot,Wet mass (g),Dry mass (g),Dry BD (g/mL),Dry BD (kg/m3),Water content (g),Organic matter (g),% OM LOI
UNB-2-1-0-1,0,1,1,0.5,0.97072,0.2377,0.2377,237.7,0.73302,0.1078,45.35128
UNB-2-1-1-2,1,2,1,1.5,0.97187,0.21495,0.21495,214.95,0.75692,0.10069,46.84345
UNB-2-1-2-3,2,3,1,2.5,1.07443,0.22719,0.22719,227.19,0.84724,0.11164,49.13949
UNB-2-1-3-4,3,4,1,3.5,0.97887,0.25094,0.25094,250.94,0.72793,0.11846,47.2065
UNB-2-1-4-5,4,5,1,4.5,0.93977,0.23005,0.23005,230.05,0.70972,0.09003,39.13497
UNB-2-1-5-6,5,6,1,5.5,1.11195,0.29609,0.29609,296.09,0.81586,0.09522,32.15914
UNB-2-1-6-7,6,7,1,6.5,0.96127,0.25522,0.25522,255.22,0.70605,0.0838,32.83442
UNB-2-1-7-8,7,8,1,7.5,1.03404,0.28189,0.28189,281.89,0.75215,0.09178,32.5588
UNB-2-1-8-9,8,9,1,8.5,1.03471,0.34349,0.34349,343.49,0.69122,0.06527,19.00201
UNB-2-1-9-10,9,10,1,9.5,1.27335,0.77831,0.77831,778.31,0.49504,0.05466,7.02291
UNB-2-1-10-11,10,11,1,10.5,1.68353,1.1351,1.1351,1135.1,0.54843,0.06518,5.74223
UNB-2-1-11-12,11,12,1,11.5,1.41622,0.73744,0.73744,737.44,0.67878,0.0793,10.75342
UNB-2-1-12-13,12,13,1,12.5,1.01883,0.38656,0.38656,386.56,0.63227,0.06065,15.68967
UNB-2-1-13-14,13,14,1,13.5,1.21696,0.4755,0.4755,475.5,0.74146,0.072,15.14196
UNB-2-1-14-15,14,15,1,14.5,1.06411,0.42226,0.42226,422.26,0.64185,0.05086,12.04471
UNB-2-1-15-16,15,16,1,15.5,0.90271,0.27451,0.27451,274.51,0.6282,0.06975,25.40891
UNB-2-1-16-17,16,17,1,16.5,1.08189,0.43217,0.43217,432.17,0.64972,0.06518,15.08203
UNB-2-1-17-18,17,18,1,17.5,1.55829,1.06418,1.06418,1064.18,0.49411,0.05679,5.3365
UNB-2-1-18-19,18,19,1,18.5,1.31844,0.86435,0.86435,864.35,0.45409,0.05513,6.3782
UNB-2-1-18-19R,,,,,1.49623,1.043,1.043,1043,0.45323,0.05287,5.06903
UNB-2-1-19-20,19,20,1,19.5,1.49583,0.85382,0.85382,853.82,0.64201,0.07202,8.43503
UNB-2-1-20-21,20,21,1,20.5,1.51374,0.70649,0.70649,706.49,0.80725,0.07966,11.27546
UNB-2-1-21-22,21,22,1,21.5,1.4832,0.92632,0.92632,926.32,0.55688,0.06777,7.31605
UNB-2-1-22-23,22,23,1,22.5,1.5808,0.95159,0.95159,951.59,0.62921,0.08098,8.50997
UNB-2-1-23-24,23,24,1,23.5,1.19486,0.59064,0.59064,590.64,0.60422,0.0685,11.59759
UNB-2-1-24-25,24,25,1,24.5,1.44131,0.75924,0.75924,759.24,0.68207,0.06449,8.49402
UNB-2-1-25-26,25,26,1,25.5,1.37836,0.89504,0.89504,895.04,0.48332,0.06444,7.19968
UNB-2-1-26-27,26,27,1,26.5,1.80169,1.28335,1.28335,1283.35,0.51834,0.0629,4.90124
UNB-2-1-27-28,27,28,1,27.5,1.78996,1.33664,1.33664,1336.64,0.45332,0.05918,4.42752
UNB-2-1-28-29,28,29,1,28.5,1.8455,1.40542,1.40542,1405.42,0.44008,0.04939,3.51425
UNB-2-1-29-30,29,30,1,29.5,1.71039,1.26688,1.26688,1266.88,0.44351,0.05527,4.36269
UNB-2-1-30-31,30,31,1,30.5,1.39538,0.86661,0.86661,866.61,0.52877,0.06758,7.7982
