Avg. Horizon Density (g/cm3),,depth,min,max,median,mean,Conc_Total [n/g dw],Av_Conc_Total [mg/g dw],group,Min_Conc_Total [mg/g dw],Max_Conc_Total [mg/g dw],Sample_Years_Min,Sample_Years_Max,Sample_Years_Median,Sample_Years_Mean,Lower_n/g/yr,Upper_n/g/yr,Median_n/g/yr,Mean_n/g/yr
NA,NA,0,2021.7,2021.7,2021.7,2021.7,1.500423884,0.55056439,1,0.012287457,0.971973826,9.2,6.3,7.7,7.7,0.163089553,0.238162521,0.194860245,0.194860245
0.42995,0-1,1,2019.7,2020.6,2020.2,2020.2,1.500423884,0.55056439,1,0.012287457,0.971973826,9.2,6.3,7.7,7.7,0.163089553,0.238162521,0.194860245,0.194860245
0.35199,2-Jan,2,2017.6,2019.1,2018.4,2018.4,1.500423884,0.55056439,1,0.012287457,0.971973826,9.2,6.3,7.7,7.7,0.163089553,0.238162521,0.194860245,0.194860245
0.37111,3-Feb,3,2015.1,2017.4,2016.3,2016.3,1.500423884,0.55056439,1,0.012287457,0.971973826,9.2,6.3,7.7,7.7,0.163089553,0.238162521,0.194860245,0.194860245
0.31926,4-Mar,4,2013.4,2016.1,2014.8,2014.8,1.500423884,0.55056439,1,0.012287457,0.971973826,9.2,6.3,7.7,7.7,0.163089553,0.238162521,0.194860245,0.194860245
0.25544,5-Apr,5,2012.5,2015.4,2014,2014,1.500423884,0.55056439,1,0.012287457,0.971973826,9.2,6.3,7.7,7.7,0.163089553,0.238162521,0.194860245,0.194860245
NA,NA,5,2012.5,2015.4,2014,2014,1.879040656,1.522779855,2,0.085368393,2.96452602,6.8,4.9,5.7,5.8,0.276329508,0.383477685,0.329656255,0.323972527
0.36752,6-May,6,2011.4,2014.6,2013,2013,1.879040656,1.522779855,2,0.085368393,2.96452602,6.8,4.9,5.7,5.8,0.276329508,0.383477685,0.329656255,0.323972527
0.36516,7-Jun,7,2010.1,2013.7,2012,2011.9,1.879040656,1.522779855,2,0.085368393,2.96452602,6.8,4.9,5.7,5.8,0.276329508,0.383477685,0.329656255,0.323972527
0.43728,8-Jul,8,2008.8,2012.8,2010.9,2010.9,1.879040656,1.522779855,2,0.085368393,2.96452602,6.8,4.9,5.7,5.8,0.276329508,0.383477685,0.329656255,0.323972527
0.25144,9-Aug,9,2007.4,2011.7,2009.7,2009.6,1.879040656,1.522779855,2,0.085368393,2.96452602,6.8,4.9,5.7,5.8,0.276329508,0.383477685,0.329656255,0.323972527
0.3603,10-Sep,10,2005.7,2010.5,2008.3,2008.2,1.879040656,1.522779855,2,0.085368393,2.96452602,6.8,4.9,5.7,5.8,0.276329508,0.383477685,0.329656255,0.323972527
NA,NA,10,2005.7,2010.5,2008.3,2008.2,0.825954313,0.677687609,3,0.084145235,1.281057474,5.7,4.1,4.7,4.7,0.144904265,0.201452271,0.17573496,0.17573496
0.41443,11-Oct,11,2004.1,2009.5,2007.1,2007,0.825954313,0.677687609,3,0.084145235,1.281057474,5.7,4.1,4.7,4.7,0.144904265,0.201452271,0.17573496,0.17573496
0.52692,12-Nov,12,2003.2,2008.8,2006.2,2006.2,0.825954313,0.677687609,3,0.084145235,1.281057474,5.7,4.1,4.7,4.7,0.144904265,0.201452271,0.17573496,0.17573496
0.74242,13-Dec,13,2002.1,2008,2005.4,2005.3,0.825954313,0.677687609,3,0.084145235,1.281057474,5.7,4.1,4.7,4.7,0.144904265,0.201452271,0.17573496,0.17573496
0.94349,13-14,14,2001.1,2007.2,2004.5,2004.4,0.825954313,0.677687609,3,0.084145235,1.281057474,5.7,4.1,4.7,4.7,0.144904265,0.201452271,0.17573496,0.17573496
1.08527,14-15,15,2000,2006.4,2003.6,2003.5,0.825954313,0.677687609,3,0.084145235,1.281057474,5.7,4.1,4.7,4.7,0.144904265,0.201452271,0.17573496,0.17573496
NA,NA,15,2000,2006.4,2003.6,2003.5,0.805068058,0.564433616,4,0.11227432,0.956120786,5.8,4.2,4.9,4.9,0.138804838,0.191682871,0.164299604,0.164299604
0.44477,15-16,16,1998.9,2005.7,2002.7,2002.6,0.805068058,0.564433616,4,0.11227432,0.956120786,5.8,4.2,4.9,4.9,0.138804838,0.191682871,0.164299604,0.164299604
0.39378,16-17,17,1997.7,2004.8,2001.7,2001.6,0.805068058,0.564433616,4,0.11227432,0.956120786,5.8,4.2,4.9,4.9,0.138804838,0.191682871,0.164299604,0.164299604
0.51484,17-18,18,1996.6,2004,2000.7,2000.5,0.805068058,0.564433616,4,0.11227432,0.956120786,5.8,4.2,4.9,4.9,0.138804838,0.191682871,0.164299604,0.164299604
0.46644,18-19,19,1995.4,2003.1,1999.6,1999.5,0.805068058,0.564433616,4,0.11227432,0.956120786,5.8,4.2,4.9,4.9,0.138804838,0.191682871,0.164299604,0.164299604
0.54103,19-20,20,1994.2,2002.2,1998.7,1998.6,0.805068058,0.564433616,4,0.11227432,0.956120786,5.8,4.2,4.9,4.9,0.138804838,0.191682871,0.164299604,0.164299604
NA,NA,20,1994.2,2002.2,1998.7,1998.6,0.597797822,0.147621421,5,4.77E-03,0.307967273,5.2,4.1,4.7,4.8,0.11496112,0.145804347,0.127191026,0.124541213
0.85887,20-21,21,1993.1,2001.4,1997.7,1997.6,0.597797822,0.147621421,5,4.77E-03,0.307967273,5.2,4.1,4.7,4.8,0.11496112,0.145804347,0.127191026,0.124541213
0.73032,21-22,22,1992,2000.6,1996.8,1996.6,0.597797822,0.147621421,5,4.77E-03,0.307967273,5.2,4.1,4.7,4.8,0.11496112,0.145804347,0.127191026,0.124541213
0.66442,22-23,23,1991.1,1999.8,1995.9,1995.8,0.597797822,0.147621421,5,4.77E-03,0.307967273,5.2,4.1,4.7,4.8,0.11496112,0.145804347,0.127191026,0.124541213
0.62202,23-24,24,1990.1,1999,1995,1994.9,0.597797822,0.147621421,5,4.77E-03,0.307967273,5.2,4.1,4.7,4.8,0.11496112,0.145804347,0.127191026,0.124541213
1.06762,24-25,25,1989,1998.1,1994,1993.8,0.597797822,0.147621421,5,4.77E-03,0.307967273,5.2,4.1,4.7,4.8,0.11496112,0.145804347,0.127191026,0.124541213
NA,NA,25,1989,1998.1,1994,1993.8,0.959871377,0.154088002,6,4.46E-03,0.257463926,5.5,4.1,4.7,4.6,0.174522069,0.23411497,0.204227953,0.208667691
0.54384,25-26,26,1987.9,1997.2,1993,1992.9,0.959871377,0.154088002,6,4.46E-03,0.257463926,5.5,4.1,4.7,4.6,0.174522069,0.23411497,0.204227953,0.208667691
0.56109,26-27,27,1986.7,1996.4,1992.1,1991.9,0.959871377,0.154088002,6,4.46E-03,0.257463926,5.5,4.1,4.7,4.6,0.174522069,0.23411497,0.204227953,0.208667691
0.58362,27-28,28,1985.6,1995.5,1991.1,1990.9,0.959871377,0.154088002,6,4.46E-03,0.257463926,5.5,4.1,4.7,4.6,0.174522069,0.23411497,0.204227953,0.208667691
0.42523,28-29,29,1984.5,1994.7,1990.2,1990,0.959871377,0.154088002,6,4.46E-03,0.257463926,5.5,4.1,4.7,4.6,0.174522069,0.23411497,0.204227953,0.208667691
0.600935,29-30,30,1983.5,1994,1989.3,1989.2,0.959871377,0.154088002,6,4.46E-03,0.257463926,5.5,4.1,4.7,4.6,0.174522069,0.23411497,0.204227953,0.208667691
NA,NA,30,1983.5,1994,1989.3,1989.2,0.248402373,0.124032541,7,3.70E-03,0.222538377,4.1,3.7,4,4,0.060585945,0.067135776,0.062100593,0.062100593
0.69673,30-31,31,1982.7,1993.3,1988.5,1988.4,0.248402373,0.124032541,7,3.70E-03,0.222538377,4.1,3.7,4,4,0.060585945,0.067135776,0.062100593,0.062100593
0.82631,31-32,32,1981.9,1992.5,1987.8,1987.6,0.248402373,0.124032541,7,3.70E-03,0.222538377,4.1,3.7,4,4,0.060585945,0.067135776,0.062100593,0.062100593
0.85319,32-33,33,1981.1,1991.8,1987,1986.8,0.248402373,0.124032541,7,3.70E-03,0.222538377,4.1,3.7,4,4,0.060585945,0.067135776,0.062100593,0.062100593
0.82998,33-34,34,1980.2,1991,1986.1,1986,0.248402373,0.124032541,7,3.70E-03,0.222538377,4.1,3.7,4,4,0.060585945,0.067135776,0.062100593,0.062100593
0.92071,34-35,35,1979.4,1990.3,1985.3,1985.2,0.248402373,0.124032541,7,3.70E-03,0.222538377,4.1,3.7,4,4,0.060585945,0.067135776,0.062100593,0.062100593
NA,NA,35,1979.4,1990.3,1985.3,1985.2,0.093823011,7.89E-02,8,1.52E-03,0.152359206,4.5,3.9,4.1,4.2,0.020849558,0.024057182,0.022883661,0.022338812
1.16428,35-36,36,1978.6,1989.5,1984.5,1984.3,0.093823011,7.89E-02,8,1.52E-03,0.152359206,4.5,3.9,4.1,4.2,0.020849558,0.024057182,0.022883661,0.022338812
