Material,Morphology,Material (Raw Data),Morphology (Raw Data),Unique_ID,Site,Location,Sample,Particle.x,Color,Plastic.or.not..morphology.,X1st.Order.Morph,Feret,MinFeret,Length,Length..mm.,Min Length (microns),Length (microns),Max Length (microns),Min Width (microns),Width (microns),Max Width (microns),Min Height (Microns),Height (microns),Max Height (Microns),Polymer.Class..openspecy.,Polymer..openspecy.,Min Density (mg/microns3),Density (mg/microns3),Max Density (mg/microns3),Min Volume (microns3),Volume (microns3),Max Volume (microns3),Min Mass (mg),Mass (mg),Max Mass (mg),,,
PP,fiber,poly(propylene),fiber,UNB-2-00-05-1000um_A_21,Upper Newport Bay,UNB-2,UNB-2-00-05,21,black,,Fiber,2.301,0.652,0,2.301,2185.95,2301,2416.05,15,16.7,20.4,15,16.7,20.4,poly(propylene),poly(propylene),9.98E-10,0.000000001,0.000000001,407000,504000,752000,0.000406,0.000504,0.000752,,,
PP,fiber,poly(propylene),fiber,UNB-3-00-05-500um_A_50,Upper Newport Bay,UNB-3,UNB-3-00-05,50,black,,Fiber,2.232,0.312,0,2.232,2120.4,2232,2343.6,15,16.7,20.4,15,16.7,20.4,poly(propylene),poly(propylene),9.98E-10,0.000000001,0.000000001,394000,489000,730000,0.000394,0.000489,0.00073,,,
ABS,fiber,acrylonitrile butadiene styrene (abs),fiber,UNB-3-00-05-500um_A_47,Upper Newport Bay,UNB-3,UNB-3-00-05,47,blue,,Fiber,2.105,0.165,0,2.105,1999.75,2105,2210.25,15,16.7,20.4,15,16.7,20.4,acrylonitrile butadiene styrene (abs),,1.11E-09,1.11E-09,1.11E-09,372000,461000,688000,0.000413,0.000512,0.000764,,,
PET,fiber,poly(esters/ethers/diglycidylethers/terephthalates)s,fiber,UNB-1-00-05-250um_A_32,Upper Newport Bay,UNB-1,UNB-1-00-05,32,blue,,Fiber,1.398,0.539,0,1.398,1328.1,1398,1467.9,15,16.7,20.4,15,16.7,20.4,poly(esters/ethers/diglycidylethers/terephthalates)s,,1.44E-09,1.45E-09,1.46E-09,247000,306000,457000,0.000356,0.000444,0.000667,,,
PET,fiber,poly(esters/ethers/diglycidylethers/terephthalates)s,fiber,UNB-3-00-05-500um_A_30,Upper Newport Bay,UNB-3,UNB-3-00-05,30,pink,,Fiber,2.347,0.251,0,2.347,2229.65,2347,2464.35,15,16.7,20.4,15,16.7,20.4,poly(esters/ethers/diglycidylethers/terephthalates)s,,1.44E-09,1.45E-09,1.46E-09,415000,514000,767000,0.000597,0.000745,0.00112,,,
Polyacrylonitriles (Nitriles),fiber,polyacrylonitriles (nitriles),fiber,UNB-3-00-05-500um_A_33,Upper Newport Bay,UNB-3,UNB-3-00-05,33,pink,,Fiber,2.177,0.406,0,2.177,2068.15,2177,2285.85,15,16.7,20.4,15,16.7,20.4,polyacrylonitriles (nitriles),,1.09E-09,1.12E-09,1.14E-09,385000,477000,712000,0.000419,0.000534,0.000811,,,
NA,fiber,,fiber,UNB-2-00-05-500um_A_45,Upper Newport Bay,UNB-2,UNB-2-00-05,45,blue,,Fiber,1.292,0.418,0,1.292,1227.4,1292,1356.6,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,228000,283000,422000,0.000293674,0.00036909,0.00055644,,,
NA,fiber,,fiber,UNB-2-00-05-500um_B_38,Upper Newport Bay,UNB-2,UNB-2-00-05,38,black,,Fiber,0.531,0.296,0,0.531,504.45,531,557.55,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,93800,116000,174000,0.000120819,0.000151288,0.000229433,,,
NA,fiber,,fiber,UNB-2-00-05-500um_D_39,Upper Newport Bay,UNB-2,UNB-2-00-05,39,gray,,Fiber,1.434,0.394,0,1.434,1362.3,1434,1505.7,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,253000,314000,469000,0.000325875,0.00040952,0.000618413,,,
NA,fiber,,fiber,UNB-2-00-05-250um_C_42,Upper Newport Bay,UNB-2,UNB-2-00-05,42,clear,,Fiber,0.561,0.561,0,0.561,532.95,561,589.05,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,99100,123000,183000,0.000127645,0.000160417,0.0002413,,,
NA,fiber,,fiber,UNB-3-00-05-250um_A_14,Upper Newport Bay,UNB-3,UNB-3-00-05,14,black,,Fiber,0.672,0.256,0,0.672,638.4,672,705.6,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,119000,147000,220000,0.000153277,0.000191718,0.000290087,,,
NA,fiber,,fiber,UNB-3-00-05-250um_A_2,Upper Newport Bay,UNB-3,UNB-3-00-05,2,gray,,Fiber,0.814,0.13,0,0.814,773.3,814,854.7,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,144000,178000,266000,0.000185478,0.000232148,0.000350742,,,
NA,fiber,,fiber,UNB-3-00-05-250um_A_20,Upper Newport Bay,UNB-3,UNB-3-00-05,20,black,,Fiber,0.707,0.318,0,0.707,671.65,707,742.35,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,125000,155000,231000,0.000161006,0.000202152,0.000304592,,,
NA,fiber,,fiber,UNB-3-00-05-250um_A_22,Upper Newport Bay,UNB-3,UNB-3-00-05,22,black,,Fiber,0.91,0.528,0,0.91,864.5,910,955.5,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,161000,199000,297000,0.000207375,0.000259537,0.000391618,,,
NA,fiber,,fiber,UNB-3-00-05-250um_A_27,Upper Newport Bay,UNB-3,UNB-3-00-05,27,blue,,Fiber,0.674,0.12,0,0.674,640.3,674,707.7,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,119000,148000,220000,0.000153277,0.000193022,0.000290087,,,
NA,fiber,,fiber,UNB-3-00-05-250um_A_28,Upper Newport Bay,UNB-3,UNB-3-00-05,28,red,,Fiber,0.352,0.262,0,0.352,334.4,352,369.6,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,62200,77100,115000,8.01164E-05,0.000100554,0.000151637,,,
NA,fiber,,fiber,UNB-3-00-05-250um_A_32,Upper Newport Bay,UNB-3,UNB-3-00-05,32,black,,Fiber,0.99,0.273,0,0.99,940.5,990,1039.5,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,175000,217000,324000,0.000225408,0.000283012,0.000427219,,,
NA,fiber,,fiber,UNB-3-00-05-250um_A_35,Upper Newport Bay,UNB-3,UNB-3-00-05,35,green,,Fiber,0.798,0.093,0,0.798,758.1,798,837.9,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,141000,175000,261000,0.000181614,0.000228236,0.000344149,,,
NA,fiber,,fiber,UNB-3-00-05-250um_A_40,Upper Newport Bay,UNB-3,UNB-3-00-05,40,black,,Fiber,0.752,0.331,0,0.752,714.4,752,789.6,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,133000,165000,246000,0.00017131,0.000215194,0.00032437,,,
NA,fiber,,fiber,UNB-3-00-05-250um_A_42,Upper Newport Bay,UNB-3,UNB-3-00-05,42,black,,Fiber,0.958,0.222,0,0.958,910.1,958,1005.9,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,169000,210000,313000,0.00021768,0.000273883,0.000412715,,,
NA,fiber,,fiber,UNB-3-00-05-250um_A_46,Upper Newport Bay,UNB-3,UNB-3-00-05,46,black,,Fiber,0.425,0.343,0,0.425,403.75,425,446.25,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,75100,93100,139000,9.67321E-05,0.000121421,0.000183282,,,
NA,fiber,,fiber,UNB-3-00-05-250um_B_10,Upper Newport Bay,UNB-3,UNB-3-00-05,10,black,,Fiber,0.845,0.223,0,0.845,802.75,845,887.25,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,149000,185000,276000,0.000191919,0.000241278,0.000363928,,,
