Site,Location,Sample,Depth,Size,Unique_ID,Color,Color-Group,Morphology,1st Order Morph,Comment,Feret,MinFeret,Length,plastic_or_not,match_val,good_match_vals,material_class,material_class_specific,spectrum_identity
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_1,black,Black,fiber,Fiber,,2.19,1.63,5.721,plastic,0.97291529,TRUE,poly(propylene),poly(propylene),pp
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_10,blue,Blue,fiber,Fiber,,4.191,2.391,17.02,plastic,0.857029167,TRUE,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),pet
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_11,white,White,fragment,Non-Fiber,,3.461,2.512,0,plastic,0.845709019,TRUE,polyhaloolefins (vinylhalides),poly(vinyl chloride),pvc 1. clear fragment
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_12,black,Black,fiber,Fiber,,2.312,1.326,4.358,plastic,0.921249317,TRUE,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),pet.1
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_14,white,White,foam,Non-Fiber,,3.904,2.805,0,plastic,0.956889875,TRUE,"polystyrenes (polyphenylethylenes, -methylstyrene)",polystyrene,polystyrene-packaging foam-centrifuge tube
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_15,black,Black,fragment,Non-Fiber,,1.887,1.416,0,plastic,0.923801611,TRUE,poly(ethylene),poly(ethylene),pe
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_16,white,White,foam,Non-Fiber,,2.866,1.467,0,plastic,0.889523275,TRUE,"polystyrenes (polyphenylethylenes, -methylstyrene)",,styrene_allyl_alcohol
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_17,white,White,foam,Non-Fiber,,4.084,3.337,0,plastic,0.911131025,TRUE,"polystyrenes (polyphenylethylenes, -methylstyrene)",polystyrene,ps
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_18,white,White,foam,Non-Fiber,,4.37,3.207,0,plastic,0.941903796,TRUE,"polystyrenes (polyphenylethylenes, -methylstyrene)",polystyrene,polystyrene-biaxial film-goodfellow
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_2,black,Black,fiber,Fiber,,3.116,1.273,5.228,plastic,0.916905138,TRUE,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),pet
