"";"Location";"material_class";"count";"percentage"
"1";"UNB-1";"acrylonitrile butadiene styrene (abs)";4;1,93236714975845
"2";"UNB-1";"cellulose derivatives (ether cellulose)";3;1,44927536231884
"3";"UNB-1";"ethylene-vinyl acetate";2;0,966183574879227
"4";"UNB-1";"poly(acrylamide/amid)s";12;5,79710144927536
"5";"UNB-1";"poly(esters/ethers/diglycidylethers/terephthalates)s";58;28,0193236714976
"6";"UNB-1";"poly(ethylene)";16;7,72946859903382
"7";"UNB-1";"poly(propylene)";35;16,9082125603865
"8";"UNB-1";"polyacrylonitriles (nitriles)";28;13,5265700483092
"9";"UNB-1";"polydienes (butadienes, isoprenes)";3;1,44927536231884
"10";"UNB-1";"polyhaloolefins (vinylhalides)";4;1,93236714975845
"11";"UNB-1";"polyhydroxy(meth)acrylates";2;0,966183574879227
"12";"UNB-1";"polymethacrylates";4;1,93236714975845
"13";"UNB-1";"polystyrenes (polyphenylethylenes, -methylstyrene)";35;16,9082125603865
"14";"UNB-1";"polyvinylesters";1;0,483091787439614
"15";"UNB-2";"cellulose derivatives (ether cellulose)";10;2,72479564032698
"16";"UNB-2";"poly(acrylamide/amid)s";27;7,35694822888283
"17";"UNB-2";"poly(esters/ethers/diglycidylethers/terephthalates)s";97;26,4305177111717
"18";"UNB-2";"poly(ethylene)";32;8,71934604904632
"19";"UNB-2";"poly(propylene)";56;15,2588555858311
"20";"UNB-2";"polyacrylonitriles (nitriles)";32;8,71934604904632
"21";"UNB-2";"polycarbonates";1;0,272479564032698
"22";"UNB-2";"polydienes (butadienes, isoprenes)";1;0,272479564032698
"23";"UNB-2";"polyhaloolefins (vinylhalides)";9;2,45231607629428
"24";"UNB-2";"polyhydroxy(meth)acrylates";1;0,272479564032698
"25";"UNB-2";"polystyrenes (polyphenylethylenes, -methylstyrene)";98;26,7029972752044
"26";"UNB-2";"polyvinylesters";3;0,817438692098093
"27";"UNB-3";"acrylonitrile butadiene styrene (abs)";7;1,91256830601093
"28";"UNB-3";"cellulose derivatives (ether cellulose)";5;1,36612021857923
"29";"UNB-3";"poly(acrylamide/amid)s";82;22,4043715846995
"30";"UNB-3";"poly(esters/ethers/diglycidylethers/terephthalates)s";27;7,37704918032787
"31";"UNB-3";"poly(ethylene)";48;13,1147540983607
"32";"UNB-3";"poly(propylene)";60;16,3934426229508
"33";"UNB-3";"polyacrylonitriles (nitriles)";22;6,01092896174863
"34";"UNB-3";"polydienes (butadienes, isoprenes)";2;0,546448087431694
"35";"UNB-3";"polyhaloolefins (vinylhalides)";11;3,00546448087432
"36";"UNB-3";"polyhydroxy(meth)acrylates";2;0,546448087431694
"37";"UNB-3";"polystyrenes (polyphenylethylenes, -methylstyrene)";97;26,5027322404372
"38";"UNB-3";"polyurethanes (isocyanates)";1;0,273224043715847
"39";"UNB-3";"polyvinylesters";2;0,546448087431694
