"";"Location";"material_class";"count";"percentage"
"1";"UNB-1";"cellulose derivatives (ether cellulose)";3;2,97029702970297
"2";"UNB-1";"ethylene-vinyl acetate";1;0,99009900990099
"3";"UNB-1";"poly(acrylamide/amid)s";10;9,9009900990099
"4";"UNB-1";"poly(esters/ethers/diglycidylethers/terephthalates)s";2;1,98019801980198
"5";"UNB-1";"poly(ethylene)";16;15,8415841584158
"6";"UNB-1";"poly(propylene)";27;26,7326732673267
"7";"UNB-1";"polyacrylonitriles (nitriles)";1;0,99009900990099
"8";"UNB-1";"polydienes (butadienes, isoprenes)";3;2,97029702970297
"9";"UNB-1";"polyhaloolefins (vinylhalides)";3;2,97029702970297
"10";"UNB-1";"polymethacrylates";1;0,99009900990099
"11";"UNB-1";"polystyrenes (polyphenylethylenes, -methylstyrene)";33;32,6732673267327
"12";"UNB-1";"polyvinylesters";1;0,99009900990099
"13";"UNB-2";"cellulose derivatives (ether cellulose)";8;3,57142857142857
"14";"UNB-2";"poly(acrylamide/amid)s";21;9,375
"15";"UNB-2";"poly(esters/ethers/diglycidylethers/terephthalates)s";9;4,01785714285714
"16";"UNB-2";"poly(ethylene)";32;14,2857142857143
"17";"UNB-2";"poly(propylene)";50;22,3214285714286
"18";"UNB-2";"polyacrylonitriles (nitriles)";2;0,892857142857143
"19";"UNB-2";"polycarbonates";1;0,446428571428571
"20";"UNB-2";"polydienes (butadienes, isoprenes)";1;0,446428571428571
"21";"UNB-2";"polyhaloolefins (vinylhalides)";2;0,892857142857143
"22";"UNB-2";"polystyrenes (polyphenylethylenes, -methylstyrene)";97;43,3035714285714
"23";"UNB-2";"polyvinylesters";1;0,446428571428571
"24";"UNB-3";"cellulose derivatives (ether cellulose)";5;1,62337662337662
"25";"UNB-3";"poly(acrylamide/amid)s";80;25,974025974026
"26";"UNB-3";"poly(esters/ethers/diglycidylethers/terephthalates)s";4;1,2987012987013
"27";"UNB-3";"poly(ethylene)";48;15,5844155844156
"28";"UNB-3";"poly(propylene)";53;17,2077922077922
"29";"UNB-3";"polyacrylonitriles (nitriles)";5;1,62337662337662
"30";"UNB-3";"polydienes (butadienes, isoprenes)";2;0,649350649350649
"31";"UNB-3";"polyhaloolefins (vinylhalides)";11;3,57142857142857
"32";"UNB-3";"polyhydroxy(meth)acrylates";2;0,649350649350649
"33";"UNB-3";"polystyrenes (polyphenylethylenes, -methylstyrene)";97;31,4935064935065
"34";"UNB-3";"polyurethanes (isocyanates)";1;0,324675324675325
