"";"Site";"material_class";"count";"percentage"
"1";"Upper Bay Saltmarsh";"cellulose derivatives (ether cellulose)";5;3,24675324675325
"2";"Upper Bay Saltmarsh";"ethylene-vinyl acetate";1;0,649350649350649
"3";"Upper Bay Saltmarsh";"poly(acrylamide/amid)s";14;9,09090909090909
"4";"Upper Bay Saltmarsh";"poly(esters/ethers/diglycidylethers/terephthalates)s";3;1,94805194805195
"5";"Upper Bay Saltmarsh";"poly(ethylene)";28;18,1818181818182
"6";"Upper Bay Saltmarsh";"poly(propylene)";64;41,5584415584416
"7";"Upper Bay Saltmarsh";"polyhaloolefins (vinylhalides)";1;0,649350649350649
"8";"Upper Bay Saltmarsh";"polyhydroxy(meth)acrylates";1;0,649350649350649
"9";"Upper Bay Saltmarsh";"polymethacrylates";1;0,649350649350649
"10";"Upper Bay Saltmarsh";"polystyrenes (polyphenylethylenes, -methylstyrene)";34;22,0779220779221
"11";"Upper Bay Saltmarsh";"polyurethanes (isocyanates)";1;0,649350649350649
"12";"Upper Bay Saltmarsh";"polyvinylesters";1;0,649350649350649
"13";"Upper Bay Basin I/III";"acrylonitrile butadiene styrene (abs)";1;0,819672131147541
"14";"Upper Bay Basin I/III";"poly(acrylamide/amid)s";8;6,55737704918033
"15";"Upper Bay Basin I/III";"poly(esters/ethers/diglycidylethers/terephthalates)s";5;4,0983606557377
"16";"Upper Bay Basin I/III";"poly(ethylene)";45;36,8852459016393
"17";"Upper Bay Basin I/III";"poly(propylene)";40;32,7868852459016
"18";"Upper Bay Basin I/III";"polyacrylonitriles (nitriles)";3;2,45901639344262
"19";"Upper Bay Basin I/III";"polydienes (butadienes, isoprenes)";4;3,27868852459016
"20";"Upper Bay Basin I/III";"polyhaloolefins (vinylhalides)";6;4,91803278688525
"21";"Upper Bay Basin I/III";"polyhydroxy(meth)acrylates";4;3,27868852459016
"22";"Upper Bay Basin I/III";"polymethacrylates";2;1,63934426229508
"23";"Upper Bay Basin I/III";"polystyrenes (polyphenylethylenes, -methylstyrene)";3;2,45901639344262
"24";"Upper Bay Basin I/III";"polyurethanes (isocyanates)";1;0,819672131147541
"25";"Upper Bay Basin II";"cellulose derivatives (ether cellulose)";1;0,617283950617284
"26";"Upper Bay Basin II";"poly(acrylamide/amid)s";15;9,25925925925926
"27";"Upper Bay Basin II";"poly(esters/ethers/diglycidylethers/terephthalates)s";19;11,7283950617284
"28";"Upper Bay Basin II";"poly(ethylene)";50;30,8641975308642
"29";"Upper Bay Basin II";"poly(propylene)";39;24,0740740740741
"30";"Upper Bay Basin II";"polyacrylonitriles (nitriles)";7;4,32098765432099
"31";"Upper Bay Basin II";"polycarbonates";1;0,617283950617284
"32";"Upper Bay Basin II";"polydienes (butadienes, isoprenes)";11;6,79012345679012
"33";"Upper Bay Basin II";"polyhaloolefins (vinylhalides)";8;4,93827160493827
"34";"Upper Bay Basin II";"polyhydroxy(meth)acrylates";3;1,85185185185185
"35";"Upper Bay Basin II";"polystyrenes (polyphenylethylenes, -methylstyrene)";6;3,7037037037037
"36";"Upper Bay Basin II";"polyurethanes (isocyanates)";2;1,23456790123457
"37";"Middle Newport Bay";"cellulose derivatives (ether cellulose)";1;0,746268656716418
"38";"Middle Newport Bay";"poly(acrylamide/amid)s";3;2,23880597014925
"39";"Middle Newport Bay";"poly(esters/ethers/diglycidylethers/terephthalates)s";4;2,98507462686567
"40";"Middle Newport Bay";"poly(ethylene)";37;27,6119402985075
"41";"Middle Newport Bay";"poly(propylene)";31;23,134328358209
"42";"Middle Newport Bay";"polyacrylonitriles (nitriles)";2;1,49253731343284
"43";"Middle Newport Bay";"polycarbonates";1;0,746268656716418
"44";"Middle Newport Bay";"polydienes (butadienes, isoprenes)";11;8,2089552238806
"45";"Middle Newport Bay";"polyhaloolefins (vinylhalides)";13;9,70149253731343
"46";"Middle Newport Bay";"polymethacrylates";2;1,49253731343284
"47";"Middle Newport Bay";"polystyrenes (polyphenylethylenes, -methylstyrene)";27;20,1492537313433
"48";"Middle Newport Bay";"polyvinylesters";2;1,49253731343284
"49";"Lower Harbor";"cellulose derivatives (ether cellulose)";5;2,08333333333333
"50";"Lower Harbor";"poly(acrylamide/amid)s";20;8,33333333333333
"51";"Lower Harbor";"poly(esters/ethers/diglycidylethers/terephthalates)s";16;6,66666666666667
"52";"Lower Harbor";"poly(ethylene)";74;30,8333333333333
"53";"Lower Harbor";"poly(propylene)";53;22,0833333333333
"54";"Lower Harbor";"polyacrylonitriles (nitriles)";4;1,66666666666667
"55";"Lower Harbor";"polycarbonates";1;0,416666666666667
"56";"Lower Harbor";"polydienes (butadienes, isoprenes)";11;4,58333333333333
"57";"Lower Harbor";"polyhaloolefins (vinylhalides)";10;4,16666666666667
"58";"Lower Harbor";"polyhydroxy(meth)acrylates";1;0,416666666666667
"59";"Lower Harbor";"polymethacrylates";1;0,416666666666667
"60";"Lower Harbor";"polystyrenes (polyphenylethylenes, -methylstyrene)";40;16,6666666666667
"61";"Lower Harbor";"polyurethanes (isocyanates)";2;0,833333333333333
"62";"Lower Harbor";"polyvinylesters";2;0,833333333333333
