"","Site","Sample","count","acrylonitrile butadiene styrene (abs)","cellulose derivatives (ether cellulose)","ethylene-vinyl acetate","poly(acrylamide/amid)s","poly(esters/ethers/diglycidylethers/terephthalates)s","poly(ethylene)","poly(propylene)","polyacrylonitriles (nitriles)","polycarbonates","polydienes (butadienes, isoprenes)","polyhaloolefins (vinylhalides)","polyhydroxy(meth)acrylates","polymethacrylates","polystyrenes (polyphenylethylenes, -methylstyrene)","polyurethanes (isocyanates)","polyvinylesters"
"1","Lower Harbor","SUB-4-1-S1",1,0,0,0,0.416666666666667,0,0,0,0,0.416666666666667,0,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0,0
"2","Lower Harbor","SUB-4-1-S1",2,0,0,0,0,0.833333333333333,0,0,0,0,0.833333333333333,0,0,0,0,0,0
"3","Lower Harbor","SUB-4-1-S1",6,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0
"4","Lower Harbor","SUB-4-1-S1",16,0,0,0,0,0,6.66666666666667,0,0,0,0,0,0,0,0,0,0
"5","Lower Harbor","SUB-4-10-S2",1,0,0,0,0,0,0,0,0.416666666666667,0,0,0.416666666666667,0,0,0,0,0
"6","Lower Harbor","SUB-4-10-S2",2,0,0,0,0,0,0,0,0,0,0.833333333333333,0,0,0,0,0,0
"7","Lower Harbor","SUB-4-10-S2",3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0
"8","Lower Harbor","SUB-4-10-S2",4,0,0,0,1.66666666666667,1.66666666666667,0,0,0,0,0,0,0,0,0,0,0
"9","Lower Harbor","SUB-4-10-S2",8,0,0,0,0,0,0,3.33333333333333,0,0,0,0,0,0,0,0,0
"10","Lower Harbor","SUB-4-10-S2",10,0,0,0,0,0,4.16666666666667,0,0,0,0,0,0,0,0,0,0
"11","Lower Harbor","SUB-4-11-S1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0,0
"12","Lower Harbor","SUB-4-11-S1",2,0,0.833333333333333,0,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"13","Lower Harbor","SUB-4-11-S1",3,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0
"14","Lower Harbor","SUB-4-11-S1",9,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0
"15","Lower Harbor","SUB-4-11-S1",10,0,0,0,0,0,4.16666666666667,0,0,0,0,0,0,0,0,0,0
"16","Lower Harbor","SUB-4-2-S1",1,0,0,0,0,0,0,0,0.416666666666667,0,0,0,0,0,0,0,0
"17","Lower Harbor","SUB-4-2-S1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0,0
"18","Lower Harbor","SUB-4-2-S1",5,0,0,0,2.08333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"19","Lower Harbor","SUB-4-2-S1",10,0,0,0,0,0,0,4.16666666666667,0,0,0,0,0,0,0,0,0
"20","Lower Harbor","SUB-4-2-S1",11,0,0,0,0,0,4.58333333333333,0,0,0,0,0,0,0,0,0,0
"21","Lower Harbor","SUB-4-4-S1",1,0,0,0,0,0,0,0,0.416666666666667,0,0,0,0,0,0,0,0.416666666666667
"22","Lower Harbor","SUB-4-4-S1",2,0,0.833333333333333,0,0,0,0,0,0,0,0.833333333333333,0,0,0,0,0,0
"23","Lower Harbor","SUB-4-4-S1",3,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0
"24","Lower Harbor","SUB-4-4-S1",4,0,0,0,1.66666666666667,0,0,1.66666666666667,0,0,0,0,0,0,0,0,0
"25","Lower Harbor","SUB-4-4-S1",5,0,0,0,0,0,2.08333333333333,0,0,0,0,0,0,0,0,0,0
"26","Lower Harbor","SUB-4-4-S1",8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33333333333333,0,0
"27","Lower Harbor","SUB-4-5-S1",1,0,0.416666666666667,0,0.416666666666667,0,0,0,0,0,0,0,0,0,0,0,0
"28","Lower Harbor","SUB-4-5-S1",2,0,0,0,0,0.833333333333333,0,0.833333333333333,0,0,0,0,0,0,0,0.833333333333333,0
"29","Lower Harbor","SUB-4-5-S1",4,0,0,0,0,0,1.66666666666667,0,0,0,0,0,0,0,0,0,0
"30","Lower Harbor","SUB-4-5-S1",5,0,0,0,0,0,0,0,0,0,2.08333333333333,0,0,0,0,0,0
"31","Lower Harbor","SUB-4-5-S1",17,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08333333333333,0,0
"32","Lower Harbor","SUB-4-7-S2",1,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0,0,0,0,0.416666666666667
"33","Lower Harbor","SUB-4-7-S2",2,0,0,0,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"34","Lower Harbor","SUB-4-7-S2",3,0,0,0,0,1.25,0,0,0,0,0,0,0,0,1.25,0,0
"35","Lower Harbor","SUB-4-7-S2",6,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0
"36","Lower Harbor","SUB-4-7-S2",14,0,0,0,0,0,5.83333333333333,0,0,0,0,0,0,0,0,0,0
"37","Lower Harbor","SUB-4-9-S2",1,0,0,0,0.416666666666667,0,0,0,0.416666666666667,0,0,0.416666666666667,0,0,0,0,0
"38","Lower Harbor","SUB-4-9-S2",4,0,0,0,0,0,1.66666666666667,0,0,0,0,0,0,0,0,0,0
"39","Lower Harbor","SUB-4-9-S2",5,0,0,0,0,2.08333333333333,0,0,0,0,0,0,0,0,2.08333333333333,0,0
"40","Lower Harbor","SUB-4-9-S2",8,0,0,0,0,0,0,3.33333333333333,0,0,0,0,0,0,0,0,0
"41","Middle Newport Bay","SUB-3-3-S1",1,0,0,0,0,0.746268656716418,0,0,0.746268656716418,0.746268656716418,0,0,0,0,0,0,0
"42","Middle Newport Bay","SUB-3-3-S1",2,0,0,0,1.49253731343284,0,0,0,0,0,0,1.49253731343284,0,0,0,0,1.49253731343284
"43","Middle Newport Bay","SUB-3-3-S1",3,0,0,0,0,0,0,0,0,0,2.23880597014925,0,0,0,0,0,0
"44","Middle Newport Bay","SUB-3-3-S1",5,0,0,0,0,0,0,3.73134328358209,0,0,0,0,0,0,0,0,0
"45","Middle Newport Bay","SUB-3-3-S1",6,0,0,0,0,0,4.47761194029851,0,0,0,0,0,0,0,0,0,0
