,Site,Location,Sub,Sample,Depth,Size,Unique_ID,Color,Color-Group,Morphology,1st Order Morph,Comment,Feret,MinFeret,Length,plastic_or_not,match_val,good_match_vals,material_class,material_class_specific,spectrum_identity
1,Middle Newport Bay,SUB-3-3,S1,SUB-3-3-S1,0-5cm,1000um,SUB-3-3-1000um_S1_A_1,black,Black,fiber,Fiber,NA,1.041,0.429,1.522,NA,NA,NA,NA,NA,NA
2,Middle Newport Bay,SUB-3-3,S1,SUB-3-3-S1,0-5cm,1000um,SUB-3-3-1000um_S1_A_2,black,Black,not plastic,NA,crumbly,0.981,0.331,0,NA,NA,NA,NA,NA,NA
3,Middle Newport Bay,SUB-3-3,S1,SUB-3-3-S1,0-5cm,1000um,SUB-3-3-1000um_S1_A_3,black,Black,fiber,Fiber,NA,1.704,0.476,2.213,NA,NA,NA,NA,NA,NA
4,Middle Newport Bay,SUB-3-3,S1,SUB-3-3-S1,0-5cm,1000um,SUB-3-3-1000um_S1_A_4,black,Black,not plastic,NA,"crumbly, likey orgo",3.412,1.386,0,NA,NA,NA,NA,NA,NA
5,Middle Newport Bay,SUB-3-3,S1,SUB-3-3-S1,0-5cm,1000um,SUB-3-3-1000um_S1_A_5,black,Black,not plastic,NA,"crumbly, likey orgo",3.435,2.713,0,NA,NA,NA,NA,NA,NA
6,Middle Newport Bay,SUB-3-3,S1,SUB-3-3-S1,0-5cm,1000um,SUB-3-3-1000um_S1_A_6,gray,Black,fiber,Fiber,NA,1.288,0.416,2.267,NA,NA,NA,NA,NA,NA
7,Middle Newport Bay,SUB-3-3,S1,SUB-3-3-S1,0-5cm,250um,SUB-3-3-250um_S1_A_1,black,Black,foam,Non-Fiber,NA,0.663,0.383,0,plastic,0.832347976,TRUE,polycarbonates,acrylonitrile butadiene styrene (abs),acrylnitril-butadien-styrol
8,Middle Newport Bay,SUB-3-3,S1,SUB-3-3-S1,0-5cm,250um,SUB-3-3-250um_S1_A_10,black,Black,TRWP,Non-Fiber,NA,0.609,0.438,4.528,NA,NA,NA,NA,NA,NA
9,Middle Newport Bay,SUB-3-3,S1,SUB-3-3-S1,0-5cm,250um,SUB-3-3-250um_S1_A_11,black,Black,fragment,Non-Fiber,NA,0.922,0.389,4.528,plastic,0.891566976,TRUE,polyacrylonitriles (nitriles),NA,rubber
10,Middle Newport Bay,SUB-3-3,S1,SUB-3-3-S1,0-5cm,250um,SUB-3-3-250um_S1_A_12,gray,Black,fragment,Non-Fiber,NA,0.502,0.343,4.528,not plastic,0.843099873,TRUE,organic matter,NA,honeycomb_middle_wall
11,Middle Newport Bay,SUB-3-3,S1,SUB-3-3-S1,0-5cm,250um,SUB-3-3-250um_S1_A_13,translucent,Transparent,fiber,Fiber,NA,4.402,0.69,6.438,NA,NA,NA,NA,NA,NA
12,Middle Newport Bay,SUB-3-3,S1,SUB-3-3-S1,0-5cm,250um,SUB-3-3-250um_S1_A_14,black,Black,fiber,Fiber,NA,3.037,0.33,3.397,NA,NA,NA,NA,NA,NA
13,Middle Newport Bay,SUB-3-3,S1,SUB-3-3-S1,0-5cm,250um,SUB-3-3-250um_S1_A_15,pink,Red,fiber,Fiber,NA,1.446,0.973,2.649,NA,NA,NA,NA,NA,NA
14,Middle Newport Bay,SUB-3-3,S1,SUB-3-3-S1,0-5cm,250um,SUB-3-3-250um_S1_A_16,green,Green,fragment,Non-Fiber,NA,0.615,0.344,1.434,not plastic,0.843365333,TRUE,mineral,NA,amber
15,Middle Newport Bay,SUB-3-3,S1,SUB-3-3-S1,0-5cm,250um,SUB-3-3-250um_S1_A_17,blue,Blue,spike,Spike,NA,0.317,0.264,0.861,NA,NA,NA,NA,NA,NA
16,Middle Newport Bay,SUB-3-3,S1,SUB-3-3-S1,0-5cm,250um,SUB-3-3-250um_S1_A_18,black,Black,TRWP,Non-Fiber,NA,0.791,0.604,4.528,plastic,0.873108692,TRUE,"polydienes (butadienes, isoprenes)","1,4-polyisoprene (cis and trans)(latex)",latex
17,Middle Newport Bay,SUB-3-3,S1,SUB-3-3-S1,0-5cm,250um,SUB-3-3-250um_S1_A_19,blue,Blue,fiber,Fiber,NA,2.115,1.425,3.953,NA,NA,NA,NA,NA,NA
18,Middle Newport Bay,SUB-3-3,S1,SUB-3-3-S1,0-5cm,250um,SUB-3-3-250um_S1_A_2,gray,Black,fiber,Fiber,NA,2.146,0.645,3.101,NA,NA,NA,NA,NA,NA
19,Middle Newport Bay,SUB-3-3,S1,SUB-3-3-S1,0-5cm,250um,SUB-3-3-250um_S1_A_20,pink,Red,fragment,Non-Fiber,NA,0.818,0.468,0,plastic,0.800601864,TRUE,polyhaloolefins (vinylhalides),poly(vinyl chloride),pvc.1
20,Middle Newport Bay,SUB-3-3,S1,SUB-3-3-S1,0-5cm,250um,SUB-3-3-250um_S1_A_21,gray,Black,fragment,Non-Fiber,NA,1.381,0.641,0,plastic,0.957323515,TRUE,poly(propylene),poly(propylene),pp
21,Middle Newport Bay,SUB-3-3,S1,SUB-3-3-S1,0-5cm,250um,SUB-3-3-250um_S1_A_22,white,White,film,Non-Fiber,NA,0.972,0.647,0,not plastic,0.932994539,TRUE,mineral,NA,acronal
22,Middle Newport Bay,SUB-3-3,S1,SUB-3-3-S1,0-5cm,250um,SUB-3-3-250um_S1_A_23,translucent,Transparent,film,Non-Fiber,NA,1.445,0.783,0,plastic,0.899942719,TRUE,poly(propylene),poly(propylene),pp
23,Middle Newport Bay,SUB-3-3,S1,SUB-3-3-S1,0-5cm,250um,SUB-3-3-250um_S1_A_24,green,Green,spike,Spike,NA,0.325,0.28,0,NA,NA,NA,NA,NA,NA
24,Middle Newport Bay,SUB-3-3,S1,SUB-3-3-S1,0-5cm,250um,SUB-3-3-250um_S1_A_25,black,Black,TRWP,Non-Fiber,NA,0.74,0.603,0,NA,NA,NA,NA,NA,NA
